sample_id,CGIAR_PET,CHELSA_BIO_Annual_Mean_Temperature,CHELSA_BIO_Annual_Precipitation,CHELSA_BIO_Max_Temperature_of_Warmest_Month,CHELSA_BIO_Precipitation_Seasonality,ConsensusLandCover_Human_Development_Percentage,EarthEnvTexture_CoOfVar_EVI,EarthEnvTexture_Correlation_EVI,EarthEnvTexture_Homogeneity_EVI,EarthEnvTopoMed_AspectCosine,EarthEnvTopoMed_AspectSine,EarthEnvTopoMed_Elevation,EarthEnvTopoMed_Slope,EarthEnvTopoMed_TopoPositionIndex,EsaCci_BurntAreasProbability,GHS_Population_Density,GlobBiomass_AboveGroundBiomass,MODIS_NPP,SG_Depth_to_bedrock,SG_Sand_Content_005cm,SG_SOC_Content_005cm,SG_Soil_pH_H2O_005cm,plant_diversity,climate_stability_index,sequencing_platform454Roche,sequencing_platformIllumina,sample_typerhizosphere_soil,sample_typesoil,sample_typetopsoil,primersAML1_AML2_then_AMV4_5NF_AMDGR,primersAML1_AML2_then_NS31_AM1,primersAML1_AML2_then_nu_SSU_0595_5__nu_SSU_0948_3_,primersAMV4_5F_AMDGR,primersAMV4_5NF_AMDGR,primersGeoA2_AML2_then_NS31_AMDGR,primersGeoA2_NS4_then_NS31_AML2,primersGlomerWT0_Glomer1536_then_NS31_AM1A_and_GlomerWT0_Glomer1536_then_NS31_AM1B,primersGlomerWT0_Glomer1536_then_NS31_AM1A__GlomerWT0_Glomer1536_then_NS31_AM1B,primersNS1_NS4_then_AML1_AML2,primersNS1_NS4_then_AMV4_5NF_AMDGR,primersNS1_NS4_then_NS31_AM1,primersNS1_NS41_then_AML1_AML2,primersNS31_AM1,primersNS31_AML2,primersWANDA_AML2,area_sampled,extraction_dna_mass,Resolve_Biome,arbuscular_mycorrhizal_richness,CV_Fold_Random,geometry,knndmw_CV_folds,Pixel_Long,Pixel_Lat
S5669,950,30.466553,532.05023,217.4497,48.999996,,646,1154,3665,-0.986119,-0.013771035,807.5,3.7609158,-4.5,0,0,52.426132,4766.8,200,45.815044,186.80515,53.958958,707,0.7212237,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.25,6,1.575467381,1,-119.6958313|54.8125,6,-119.6958313,54.8125
S1697,921,66.5,1030.0669,257.4834,14.9,76,384,-542,2795,-0.31622744,0.7071071,17.5,0.13480535,-0.0625,0,0.6216277,0.86844444,4559.8,200,37.614765,99.281906,62.548576,1233,0.7181875,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,100,0.5,4,2.890316231,1,-73.37083435|45.72083282,10,-73.37083435,45.72083282
S1051,1602,216.36597,1908.5986,285.34937,83.90167,,508,601,4172,-0.5644238,-0.5903893,1055.5,6.403176,-6.125,0,0,19.56871,6091.6,196.6669,54.027817,31.74528,52.594383,1651,0.35398746,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,100,5,7,3.737669618,1,-47.47916794|-13.5625,8,-47.47916794,-13.5625
S2094,1021.99994,-1.3825684,1379.0079,187.63428,22.596657,,1769,1322,2437,0.53414994,0.7705729,2094.5,18.36282,-15.4375,0,0,1.0808889,1251.4,61.5736,43.513676,120.381424,57.67844,1018,0.48781145,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0.25,5,2.302585093,1,-113.3458328|48.46250153,2,-113.3458328,48.46250153
S3339,958,28.500244,663.0674,208.5332,62.79833,,360,909,4753,0.8497753,0.5271443,940,0.9274568,0.0625,0,0,141.32605,5795.8,196.95668,35.36112,214.89134,49.861366,729,0.75116986,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.25,5,2.197224577,2,-117.9708328|54.58750153,8,-117.9708328,54.58750153
S3650,1214,169.46729,1571.1934,307.45093,56.201653,41,765,475,2557,0.12217592,0.3102813,198,3.6310296,-4.8125,0,13.268652,22.345955,6789,200,36.171932,22.22334,61.78308,2146,0.3659008,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.5,1,3.700709249,1,111.0374985|29.65416718,3,111.0374985,29.65416718
S5427,942,10.533447,562.73254,193.56665,56.010002,,753,2920,3863,0.96480006,0.09124126,1323.5,2.2123065,2.25,0,0,101.49511,4379,194.05327,37.209507,182.86855,53.889946,855,0.7052143,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.25,5,0.6931471806,3,-118.6041641|53.87916565,8,-118.6041641,53.87916565
S2064,1374,74.416504,417.1671,262.44946,89.49667,89,1003,2580,2101,-0.6796748,-0.22632773,1293.5,2.247028,-3,0,2.2993238,0.07964444,2929.8,200,44.85779,15.262389,78.76913,1202,0.39002377,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0.5,4,3.36729583,2,111.7125015|38.39583206,4,111.7125015,38.39583206
S1286,1642.0001,174.53271,467.03473,227.53369,67.9,34,408,3318,3902,-0.75359535,-0.6294365,679.5,12.901178,22.375,0,0.59393764,16.382933,21980.2,191.33606,39.16434,52.549675,64.353584,2040,0.14584456,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,100,5,12,3.33220451,1,-16.32083321|28.52916718,5,-16.32083321,28.52916718
S3731,1628,202.49976,1341.9155,320.49976,40.89997,,204,2931,5772,0.70683587,0.28482434,31,1.3847717,-1.75,0,0,139.7721,13793,200,65.87431,50.158737,51.124813,1426,0.25427598,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,100,2,8,3.481178524,1,-82.4375|29.73749924,2,-82.4375,29.73749924
S5053,713,-8.449951,673.783,204.5503,47.901672,,395,-1055,4200,-0.61341244,-0.08873998,661,4.256917,0.5,0,0,143.24124,4757,199.80121,41.730556,209.43257,50.2079,821,0.33299607,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,100,2,6,2.708050201,2,92.74583435|55.91249847,3,92.74583435,55.91249847
S5833,788,75.55005,923.1687,208.5498,21.495003,23,337,2957,4168,0.2377738,0.7446875,719.5,2.840636,4.875,0,0,94.26364,6773.6,200,25.25613,52.291485,56.456364,1291,0.49599174,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0.6,4,3.615367483,3,9.462499619|48.46250153,7,9.462499619,48.46250153
S2409,1285,211.50122,2388.2417,296.5349,64.09496,4,392,2911,4764,-0.51543915,0.3193583,370,9.578581,-10,0,0,98.89956,3024.6,198.96468,48.84922,40.156616,53.114693,2067,0.26495403,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,100,0.5,1,3.911963037,2,112.5291672|23.17083359,8,112.5291672,23.17083359
S5795,950,30.466553,532.05023,217.4497,48.999996,,646,1154,3665,-0.986119,-0.013771035,807.5,3.7609158,-4.5,0,0,52.426132,4766.8,200,45.815044,186.80515,53.958958,707,0.7212237,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.25,6,0.6931471806,3,-119.6958313|54.8125,6,-119.6958313,54.8125
