sample_id,CGIAR_PET,CHELSA_BIO_Annual_Mean_Temperature,CHELSA_BIO_Annual_Precipitation,CHELSA_BIO_Max_Temperature_of_Warmest_Month,CHELSA_BIO_Precipitation_Seasonality,ConsensusLandCover_Human_Development_Percentage,EarthEnvTexture_CoOfVar_EVI,EarthEnvTexture_Correlation_EVI,EarthEnvTexture_Homogeneity_EVI,EarthEnvTopoMed_AspectCosine,EarthEnvTopoMed_AspectSine,EarthEnvTopoMed_Elevation,EarthEnvTopoMed_Slope,EarthEnvTopoMed_TopoPositionIndex,EsaCci_BurntAreasProbability,GHS_Population_Density,GlobBiomass_AboveGroundBiomass,MODIS_NPP,SG_Depth_to_bedrock,SG_Sand_Content_005cm,SG_SOC_Content_005cm,SG_Soil_pH_H2O_005cm,plant_diversity,climate_stability_index,sequencing_platform454Roche,sequencing_platformIllumina,sequencing_platformIonTorrent,sequencing_platformPacBio,sample_typerhizosphere_soil,sample_typesoil,sample_typetopsoil,primers5_8S_Fun_ITS4_Fun,primersfITS7_ITS4,primersfITS9_ITS4,primersgITS7_ITS4,primersgITS7_ITS4_then_ITS9_ITS4,primersgITS7_ITS4_ITS4arch,primersgITS7_ITS4m,primersgITS7_ITS4ngs,primersgITS7ngs_ITS4ngsUni,primersITS_S2F___ITS3_mixed_1_1_ITS4,primersITS1_ITS4,primersITS1F_ITS4,primersITS1F_ITS4_then_fITS7_ITS4,primersITS1F_ITS4_then_ITS3_ITS4,primersITS1ngs_ITS4ngs_or_ITS1Fngs_ITS4ngs,primersITS3_KYO2_ITS4,primersITS3_ITS4,primersITS3ngs1_to_5___ITS3ngs10_ITS4ngs,primersITS3ngs1_to_ITS3ngs11_ITS4ngs,primersITS86F_ITS4,primersITS9MUNngs_ITS4ngsUni,area_sampled,extraction_dna_mass,Resolve_Biome,ectomycorrhizal_richness,CV_Fold_Random,geometry,knndmw_CV_folds,Pixel_Long,Pixel_Lat
S000172,840,103.5,870.93304,224.53296,11.5,100,1299,5924,2162,0.8320501,0.14332587,62,0.25087002,0.125,0,12.831374,7.5443554,7119.2,200,81.47275,29.028633,52.914806,1024,0.5091659,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,100,1,4,1.252762968,1,5.370833397|51.12916565,3,5.370833397,51.12916565
GF4S02052b,532.99994,-3.449463,771.7653,139.56714,31.89498,,316,3476,5133,0.9742322,0.10376574,523.5,3.1333246,0.5625,0,0,29.509155,3663.4,181.29362,50.56793,148.27966,52.914616,615,0.46738997,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.125,11,3.295466419,1,18.84583282|68.32917023,11,18.84583282,68.32917023
FMS06172v3,1490,232.68286,1330.2505,311.69922,80.40669,27,371,313,3547,0.7951384,-0.3499356,683.5,12.248291,17.375,0,0.4644539,140.00356,13421.8,165.32416,40.61718,40.162205,55.169815,2529,0.29469368,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.002,0.5,1,0,1,101.2874985|21.91250038,8,101.2874985,21.91250038
GF4S21821b,740,59.483154,685.88306,215.48315,33.00167,100,1081,5250,2588,-0.31246454,-0.23265234,39,0.96341145,-1.3125,0,42.28786,11.175822,,200,46.671635,70.31808,60.66612,908,0.52402604,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,625,2,4,2.251291799,2,26.72083282|58.38750076,1,26.72083282,58.38750076
FMS19502v2,1504,45.5,164.00008,292.5166,102.8033,,218,-2164,8925,-0.76041985,0.3551659,984,0.17168602,-0.375,0,0,0,943,200,46.912777,6,82.59655,589,0.34955636,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0.2,13,0,1,112.8125|43.72083282,12,112.8125,43.72083282
GF4S03664b,551,7.803955,1684.6802,121.736084,101.70339,,1935,1971,6412,0.19865288,0.98006964,4800.5,25.29072,4.0625,0,0,0,,122.48648,49.00541,119.97296,64.01623,2221.5986,0.3382366,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2500,0.5,5,4.397506219,1,100.1708298|27.17083359,6,100.1708298,27.17083359
GF4S21302b,726,56.5,712.0332,214.4668,32.3,34,289,-254,3540,-0.7560818,-0.45258546,60.5,0.9310553,-1.375,0,0,78.5488,4945,200,51.15658,84.91397,56.3427,870,0.52747613,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1250,2,4,4.792844037,3,26.38750076|58.63750076,1,26.38750076,58.63750076
GF4T124otu,1582,247.61719,2695.4202,282.61768,11.899988,36,138,1797,5861,0.67908937,0.5518574,284,7.816224,6.25,0,0,245.46951,14900,185.29608,37.826065,100.76969,50.113586,3297,0.27122885,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20000,2,1,2.061404838,2,146.9125061|-6.637499809,11,146.9125061,-6.637499809
GF3S05821a,779,67.4834,883.0678,202.5,35.703316,,741,3204,2692,0.82726973,-0.19544397,819,2.7263587,-1.9375,0,0,151.75716,6951.4,200,47.942917,109.8727,43.008205,1488,0.45177752,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0.9,4,3.69506034,4,14.71249962|48.66249847,10,14.71249962,48.66249847
FMSA8F1083v2,1181,93.46655,2330.1018,230.4834,12.500002,,281,524,4543,0.6068554,0.47265047,1363,8.206444,-12.0625,0,0,216.74187,7584.2,200,49.964066,133.42717,44.612827,1607,0.42239916,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0.5,4,5.147773532,5,-83.49583435|35.00416565,13,-83.49583435,35.00416565
