source_file,sample_id,A00,A01,A02,A03,A04,A05,A06,A07,A08,A09,A10,A11,A12,A13,A14,A15,A16,A17,A18,A19,A20,A21,A22,A23,A24,A25,A26,A27,A28,A29,A30,A31,A32,A33,A34,A35,A36,A37,A38,A39,A40,A41,A42,A43,A44,A45,A46,A47,A48,A49,A50,A51,A52,A53,A54,A55,A56,A57,A58,A59,A60,A61,A62,A63,sequencing_platform454Roche,sequencing_platformIllumina,sample_typerhizosphere_soil,sample_typesoil,sample_typetopsoil,primersAML1_AML2_then_AMV4_5NF_AMDGR,primersAML1_AML2_then_NS31_AM1,primersAML1_AML2_then_nu_SSU_0595_5__nu_SSU_0948_3_,primersAMV4_5F_AMDGR,primersAMV4_5NF_AMDGR,primersGeoA2_AML2_then_NS31_AMDGR,primersGeoA2_NS4_then_NS31_AML2,primersGlomerWT0_Glomer1536_then_NS31_AM1A_and_GlomerWT0_Glomer1536_then_NS31_AM1B,primersGlomerWT0_Glomer1536_then_NS31_AM1A__GlomerWT0_Glomer1536_then_NS31_AM1B,primersNS1_NS4_then_AML1_AML2,primersNS1_NS4_then_AMV4_5NF_AMDGR,primersNS1_NS4_then_NS31_AM1,primersNS1_NS41_then_AML1_AML2,primersNS31_AM1,primersNS31_AML2,primersWANDA_AML2,area_sampled,extraction_dna_mass,Resolve_Biome,arbuscular_mycorrhizal_richness,CV_Fold_Random,CV_Fold_Spatial,geometry,knndmw_CV_folds,Pixel_Long,Pixel_Lat,longitude,latitude,year_of_sampling,sequencing_platformIonTorrent,sequencing_platformPacBio,primers5_8S_Fun_ITS4_Fun,primersfITS7_ITS4,primersfITS9_ITS4,primersgITS7_ITS4,primersgITS7_ITS4_then_ITS9_ITS4,primersgITS7_ITS4_ITS4arch,primersgITS7_ITS4m,primersgITS7_ITS4ngs,primersgITS7ngs_ITS4ngsUni,primersITS_S2F___ITS3_mixed_1_1_ITS4,primersITS1_ITS4,primersITS1F_ITS4,primersITS1F_ITS4_then_fITS7_ITS4,primersITS1F_ITS4_then_ITS3_ITS4,primersITS1ngs_ITS4ngs_or_ITS1Fngs_ITS4ngs,primersITS3_KYO2_ITS4,primersITS3_ITS4,primersITS3ngs1_to_5___ITS3ngs10_ITS4ngs,primersITS3ngs1_to_ITS3ngs11_ITS4ngs,primersITS86F_ITS4,primersITS9MUNngs_ITS4ngsUni,ectomycorrhizal_richness
20260123_arbuscular_mycorrhizal_only_alphaearth_center.csv,S4539,0.1417301,-0.11909266,0.029773165,0.153787,0.153787,0.17937717,-0.022206843,0.004982699,0.08882737,0.0030142253,0.07111111,-0.11909266,-0.2069358,-0.19986159,0.07111111,0.2069358,0.02460592,0.027128028,-0.11374087,-0.09356401,0.013840831,0.06698962,0.0022145328,0.13588619,0.06299116,0.25196463,-0.14769705,0.103406385,0.17279507,0.10851211,0.019930797,-0.10851211,0.10851211,-0.14769705,-0.059115727,-0.06698962,-0.035432525,-0.022206843,-0.28444445,0.11909266,0.029773165,-0.21413302,0.21413302,-0.18608227,0.2069358,0.103406385,-0.03254133,-0.17937717,-0.00615148,-0.022206843,-0.12456747,0.035432525,-0.06698962,0.12456747,-0.017777778,-0.19291042,0.11909266,-0.017777778,0.035432525,-0.044844292,0.25196463,0.007443291,0.09842368,-0.06299116,0,1,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,2.0,12,3.371493893,4,5.0,-120.5791702|37.84583282,5,-120.5791702,37.84583282,-120.5802778,37.84888889,2012,,,,,,,,,,,,,,,,,,,,,,,,
20260123_arbuscular_mycorrhizal_only_alphaearth_center.csv,S5540,-0.03254133,-0.2364629,-0.0030142253,-0.06299116,-0.048227604,-0.11374087,-0.035432525,-0.103406385,-0.28444445,0.07972319,-0.059115727,-0.21413302,-0.017777778,-0.017777778,-0.18608227,0.103406385,-0.01574779,-0.17279507,0.11909266,-0.2214533,-0.03254133,0.029773165,-0.09842368,0.059115727,-0.08882737,-0.10851211,-0.08421376,-0.059115727,0.13016532,-0.035432525,-0.1417301,-0.00615148,0.09842368,-0.07972319,-0.017777778,0.16,0.055363324,0.21413302,-0.34602076,-0.029773165,-0.008858131,0.09842368,-0.16,-0.00615148,0.03254133,0.11909266,0.09842368,-0.17279507,0.044844292,-0.19291042,-0.01574779,-0.0039369473,0.075355634,0.24415225,0.004982699,0.03844675,-0.12456747,-0.153787,-0.22889657,0.007443291,0.11374087,-0.08882737,0.09842368,0.13016532,0,1,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,2.0,5,1.790925769,10,5.0,-120.6541672|40.67083359,5,-120.6541672,40.67083359,-120.6577778,40.66694444,2016,,,,,,,,,,,,,,,,,,,,,,,,
20260123_arbuscular_mycorrhizal_only_alphaearth_center.csv,S2386,0.08882737,-0.103406385,-0.17937717,0.08421376,0.03844675,-0.027128028,-0.03254133,0.18608227,0.3100961,-0.16633603,0.09356401,0.10851211,-0.18608227,-0.055363324,0.17279507,0.1417301,0.075355634,-0.055363324,-0.2214533,0.019930797,0.08421376,-0.1417301,-0.027128028,0.022206843,0.13588619,0.17937717,-0.075355634,0.01574779,0.09842368,0.17937717,-0.09842368,0.048227604,0.029773165,0.12456747,-0.09842368,-0.06299116,-0.075355634,0.035432525,-0.07972319,0.11374087,0.013840831,-0.14769705,0.24415225,-0.13016532,0.02460592,0.09842368,-0.03844675,0.18608227,0.07111111,-0.012056901,-0.010396002,-0.14769705,0.02460592,0.2069358,0.19291042,-0.09356401,0.055363324,-0.022206843,-0.010396002,0.09356401,0.29287198,-0.09842368,0.19986159,0.103406385,0,1,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,2.0,12,3.695085172,9,5.0,-122.2458344|37.87083435,5,-122.2458344,37.87083435,-122.2427778,37.87055556,2016,,,,,,,,,,,,,,,,,,,,,,,,
20260123_arbuscular_mycorrhizal_only_alphaearth_center.csv,S5553,0.18608227,0.19291042,0.012056901,0.07972319,0.02460592,-0.019930797,0.01574779,0.013840831,-0.25990003,-0.007443291,0.153787,0.044844292,-0.24415225,-0.11374087,0.13016532,0.029773165,0.17937717,0.11909266,0.25196463,0.103406385,-0.0022145328,-0.12456747,-0.19986159,-0.00153787,-0.09356401,0.08882737,-0.16633603,-0.1417301,0.19986159,0.07972319,0.09842368,-0.09842368,0.09842368,-0.2069358,-0.09356401,0.06299116,-0.017777778,-0.017777778,-0.3100961,0.09356401,0.25990003,-0.09842368,0.048227604,-0.08421376,0.08882737,0.03844675,0.06698962,0.010396002,-0.055363324,0.059115727,-0.11374087,-0.017777778,0.09356401,-0.10851211,0.11374087,0.11909266,-0.004982699,-0.048227604,0.022206843,-0.29287198,-0.048227604,-0.007443291,-0.03844675,-0.0005536332,0,1,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,5.0,13,1.791759469,1,10.0,-116.3791656|33.65416718,10,-116.3791656,33.65416718,-116.375,33.65055556,2019,,,,,,,,,,,,,,,,,,,,,,,,
20260123_arbuscular_mycorrhizal_only_alphaearth_center.csv,S1128,0.06299116,-0.048227604,0.01574779,-0.02460592,0.008858131,0.010396002,0.06698962,-0.05173395,0.06299116,-0.153787,0.0030142253,-0.08421376,-0.27613994,-0.13588619,0.055363324,0.11374087,-0.1417301,0.103406385,-0.13588619,-0.14769705,-0.02460592,0.16633603,-0.048227604,0.16,0.00615148,0.01574779,-0.103406385,0.153787,0.21413302,0.035432525,0.153787,-0.10851211,0.18608227,6.15148e-05,-0.13588619,0.035432525,0.17937717,0.075355634,-0.13016532,0.10851211,0.17279507,-0.25196463,0.22889657,-0.2069358,0.055363324,-0.027128028,0.048227604,-0.075355634,-0.06698962,-0.22889657,-0.013840831,-0.022206843,0.18608227,-0.029773165,-0.075355634,-0.153787,-0.06698962,-0.13016532,-0.13588619,-0.017777778,0.2069358,0.0009842368,0.25196463,0.035432525,0,1,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,5.0,12,3.663561646,9,10.0,-117.2458344|33.52916718,10,-117.2458344,33.52916718,-117.2491667,33.53194444,2019,,,,,,,,,,,,,,,,,,,,,,,,
20260123_ectomycorrhizal_only_alphaearth_center.csv,S003507,0.18608227,0.06299116,-0.14769705,0.01574779,0.11374087,0.013840831,0.03254133,0.27613994,0.18608227,-0.035432525,-0.05173395,0.07972319,-0.19986159,0.027128028,0.14769705,0.12456747,-0.18608227,-0.013840831,0.05173395,0.103406385,0.08882737,0.13588619,-0.027128028,0.03254133,0.14769705,0.21413302,-0.25990003,0.02460592,0.10851211,0.0030142253,0.06698962,0.06698962,-0.059115727,0.06299116,-0.06698962,-0.027128028,-0.044844292,0.019930797,-0.07972319,0.11909266,-0.07111111,0.022206843,0.2214533,-0.11374087,-0.019930797,0.18608227,-0.09842368,-0.01574779,-0.004982699,-0.12456747,-0.13016532,-0.11909266,0.25196463,0.12456747,-0.048227604,-0.11909266,0.02460592,0.17279507,-0.16633603,0.022206843,0.3100961,-0.19986159,0.08421376,-0.044844292,1,0,0,1,0,,,,,,,,,,,,,,,,,0.005,0.2,5,,9,,-122.8874969|38.09583282,4,-122.8874969,38.09583282,-122.89019,38.09925,2012.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20260123_ectomycorrhizal_only_alphaearth_center.csv,S003034,0.103406385,0.03254133,-0.048227604,0.12456747,0.08882737,0.013840831,0.044844292,-0.055363324,0.055363324,-0.13588619,-0.044844292,-0.059115727,-0.24415225,-0.13588619,0.09356401,0.13588619,-0.022206843,-0.03254133,-0.153787,0.03844675,-0.13016532,-0.17279507,0.09842368,0.06698962,0.21413302,0.2214533,-0.19986159,-0.13016532,0.2214533,0.044844292,-0.11374087,0.12456747,0.16,0.08421376,0.029773165,-0.075355634,0.05173395,0.12456747,-0.28444445,0.07111111,0.055363324,-0.022206843,0.055363324,-0.22889657,0.2069358,0.24415225,-0.01574779,-0.08421376,0.008858131,0.041584007,0.13588619,0.017777778,0.1417301,0.2214533,0.03254133,-0.027128028,-0.007443291,-0.16,0.0030142253,-0.07972319,0.21413302,0.029773165,0.153787,-0.010396002,1,0,0,1,0,,,,,,,,,,,,,,,,,0.005,0.2,5,,9,,-119.9375|37.84583282,4,-119.9375,37.84583282,-119.93833,37.84261,2011.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6931471806
20260123_ectomycorrhizal_only_alphaearth_center.csv,S003023,0.103406385,0.03254133,-0.048227604,0.12456747,0.08882737,0.013840831,0.044844292,-0.055363324,0.055363324,-0.13588619,-0.044844292,-0.059115727,-0.24415225,-0.13588619,0.09356401,0.13588619,-0.022206843,-0.03254133,-0.153787,0.03844675,-0.13016532,-0.17279507,0.09842368,0.06698962,0.21413302,0.2214533,-0.19986159,-0.13016532,0.2214533,0.044844292,-0.11374087,0.12456747,0.16,0.08421376,0.029773165,-0.075355634,0.05173395,0.12456747,-0.28444445,0.07111111,0.055363324,-0.022206843,0.055363324,-0.22889657,0.2069358,0.24415225,-0.01574779,-0.08421376,0.008858131,0.041584007,0.13588619,0.017777778,0.1417301,0.2214533,0.03254133,-0.027128028,-0.007443291,-0.16,0.0030142253,-0.07972319,0.21413302,0.029773165,0.153787,-0.010396002,1,0,0,1,0,,,,,,,,,,,,,,,,,0.005,0.2,5,,7,,-119.9375|37.84583282,4,-119.9375,37.84583282,-119.93833,37.84261,2011.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20260123_ectomycorrhizal_only_alphaearth_center.csv,S003062,0.11909266,-0.16,-0.103406385,0.048227604,0.09842368,-0.02460592,0.055363324,0.027128028,-0.035432525,0.027128028,0.00615148,0.19291042,-0.09842368,0.004982699,-0.07111111,0.103406385,-0.022206843,0.06299116,0.18608227,-0.19291042,0.13016532,-0.11909266,0.11909266,-0.24415225,-0.075355634,0.153787,-0.2679585,0.044844292,0.09356401,-0.019930797,0.06299116,0.16633603,0.14769705,0.075355634,0.013840831,-0.08882737,-0.012056901,0.19291042,-0.16,-0.055363324,-0.07972319,0.10851211,-0.09842368,0.012056901,-0.055363324,0.08421376,-0.06698962,-0.11374087,-0.09356401,-0.11909266,0.13588619,-0.044844292,-0.007443291,0.31889275,0.29287198,0.059115727,-0.08421376,-0.12456747,0.02460592,-0.2214533,0.13588619,0.14769705,0.153787,0.09842368,1,0,0,1,0,,,,,,,,,,,,,,,,,0.005,0.2,5,,9,,-119.4875031|37.8125,4,-119.4875031,37.8125,-119.49117,37.80889,2012.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6931471806
20260123_ectomycorrhizal_only_alphaearth_center.csv,FMS22933v2,0.19986159,-0.044844292,-0.11909266,-0.022206843,0.08882737,0.09842368,0.007443291,0.19986159,0.11909266,-0.007443291,-0.075355634,0.044844292,-0.17279507,0.13016532,0.017777778,0.1417301,-0.09842368,-0.03254133,0.31889275,-0.11909266,0.13016532,-0.11374087,0.103406385,-0.03254133,0.08882737,0.1417301,-0.25990003,0.0022145328,-0.010396002,-0.02460592,-0.0039369473,0.02460592,-0.06299116,0.017777778,-0.008858131,-0.041584007,-0.19986159,0.00153787,-0.11909266,-0.03844675,-0.19291042,0.0022145328,0.13588619,-0.103406385,-0.035432525,0.2069358,-0.2069358,-0.01574779,-0.0009842368,-0.05173395,-0.03844675,-0.12456747,0.09356401,0.2679585,0.14769705,0.022206843,-0.09842368,0.25196463,-0.11909266,-0.03254133,0.30142254,-0.0039369473,0.103406385,-0.004982699,1,0,0,1,0,,,,,,,,,,,,,,,,,100.0,0.5,5,,4,,-120.7791672|39.26250076,4,-120.7791672,39.26250076,-120.78,39.26,2011.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.556473535
