sample_id,CGIAR_PET,CHELSA_BIO_Annual_Mean_Temperature,CHELSA_BIO_Annual_Precipitation,CHELSA_BIO_Max_Temperature_of_Warmest_Month,CHELSA_BIO_Precipitation_Seasonality,ConsensusLandCover_Human_Development_Percentage,EarthEnvTexture_CoOfVar_EVI,EarthEnvTexture_Correlation_EVI,EarthEnvTexture_Homogeneity_EVI,EarthEnvTopoMed_AspectCosine,EarthEnvTopoMed_AspectSine,EarthEnvTopoMed_Elevation,EarthEnvTopoMed_Slope,EarthEnvTopoMed_TopoPositionIndex,EsaCci_BurntAreasProbability,GHS_Population_Density,GlobBiomass_AboveGroundBiomass,MODIS_NPP,SG_Depth_to_bedrock,SG_Sand_Content_005cm,SG_SOC_Content_005cm,SG_Soil_pH_H2O_005cm,plant_diversity,climate_stability_index,sequencing_platform454Roche,sequencing_platformIllumina,sample_typerhizosphere_soil,sample_typesoil,sample_typetopsoil,primersAML1_AML2_then_AMV4_5NF_AMDGR,primersAML1_AML2_then_NS31_AM1,primersAML1_AML2_then_nu_SSU_0595_5__nu_SSU_0948_3_,primersAMV4_5F_AMDGR,primersAMV4_5NF_AMDGR,primersGeoA2_AML2_then_NS31_AMDGR,primersGeoA2_NS4_then_NS31_AML2,primersGlomerWT0_Glomer1536_then_NS31_AM1A_and_GlomerWT0_Glomer1536_then_NS31_AM1B,primersGlomerWT0_Glomer1536_then_NS31_AM1A__GlomerWT0_Glomer1536_then_NS31_AM1B,primersNS1_NS4_then_AML1_AML2,primersNS1_NS4_then_AMV4_5NF_AMDGR,primersNS1_NS4_then_NS31_AM1,primersNS1_NS41_then_AML1_AML2,primersNS31_AM1,primersNS31_AML2,primersWANDA_AML2,area_sampled,extraction_dna_mass,Resolve_Biome,arbuscular_mycorrhizal_richness,CV_Fold_Random,CV_Fold_Spatial,geometry,knndmw_CV_folds,Pixel_Long,Pixel_Lat,longitude,latitude,year_of_sampling,A00,A01,A02,A03,A04,A05,A06,A07,A08,A09,A10,A11,A12,A13,A14,A15,A16,A17,A18,A19,A20,A21,A22,A23,A24,A25,A26,A27,A28,A29,A30,A31,A32,A33,A34,A35,A36,A37,A38,A39,A40,A41,A42,A43,A44,A45,A46,A47,A48,A49,A50,A51,A52,A53,A54,A55,A56,A57,A58,A59,A60,A61,A62,A63
S5669,950.0,30.466553,532.05023,217.4497,48.999996,,646.0,1154.0,3665.0,-0.986119,-0.013771035,807.5,3.7609158,-4.5,0.0,0.0,52.426132,4766.8,200.0,45.815044,186.80515,53.958958,707.0,0.7212237,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.0,0.25,6,1.575467381,1,6,-119.6958313|54.8125,6,-119.6958313,54.8125,-119.69187,54.81258,2016,0.103406385,-0.21413302,-0.004982699,-0.12456747,-0.041584007,-0.010396002,-0.044844292,0.21413302,0.048227604,0.059115727,0.17279507,-0.048227604,0.0022145328,-0.06698962,-0.06698962,-0.17937717,-0.041584007,0.11374087,0.25196463,-0.10851211,0.059115727,-0.09842368,0.03844675,-0.08421376,0.103406385,0.075355634,-0.25196463,0.075355634,0.17279507,-0.048227604,0.153787,0.019930797,0.09356401,0.16,-0.075355634,0.08882737,0.09356401,-0.01574779,-0.027128028,0.07972319,-0.3100961,-0.09356401,-0.103406385,0.2069358,-0.08882737,0.11374087,-0.029773165,-0.2679585,0.10851211,-0.103406385,0.08882737,-0.09842368,0.008858131,0.013840831,0.153787,0.21413302,0.048227604,0.11374087,-0.2069358,0.017777778,-0.12456747,0.11909266,0.17937717,0.03844675
S1697,921.0,66.5,1030.0669,257.4834,14.9,76.0,384.0,-542.0,2795.0,-0.31622744,0.7071071,17.5,0.13480535,-0.0625,0.0,0.6216277,0.86844444,4559.8,200.0,37.614765,99.281906,62.548576,1233.0,0.7181875,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,100.0,0.5,4,2.890316231,1,10,-73.37083435|45.72083282,10,-73.37083435,45.72083282,-73.37,45.72,2011,0.041584007,-0.08882737,0.06698962,-0.08421376,-0.019930797,-0.09842368,0.007443291,-0.06698962,-0.09842368,0.13588619,-0.055363324,0.00615148,-0.17937717,0.09356401,-0.2679585,0.17279507,-0.055363324,-0.06299116,0.08882737,-0.05173395,-0.16,-0.008858131,-0.027128028,-0.103406385,-0.022206843,0.11374087,0.05173395,0.16,0.11909266,-0.25196463,0.044844292,-0.10851211,0.17937717,-0.06299116,-0.11374087,0.153787,0.13016532,-0.048227604,0.035432525,0.33685505,-0.055363324,0.13588619,-0.06698962,-0.08421376,0.03254133,-0.027128028,0.13588619,0.01574779,0.34602076,0.029773165,0.153787,-0.2069358,-0.00615148,-0.029773165,0.14769705,-0.1417301,-0.17279507,-0.103406385,0.044844292,-0.16,-0.103406385,-0.06698962,-0.044844292,0.16633603
S1051,1602.0,216.36597,1908.5986,285.34937,83.90167,,508.0,601.0,4172.0,-0.5644238,-0.5903893,1055.5,6.403176,-6.125,0.0,0.0,19.56871,6091.6,196.6669,54.027817,31.74528,52.594383,1651.0,0.35398746,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,100.0,5.0,7,3.737669618,1,8,-47.47916794|-13.5625,8,-47.47916794,-13.5625,-47.48055556,-13.56055556,2016,0.004982699,-0.004982699,-0.19291042,-0.08882737,-0.044844292,0.13588619,0.07972319,0.19986159,-0.05173395,-0.16633603,-0.03254133,-0.13016532,-0.11909266,-0.09842368,0.007443291,-0.10851211,-0.044844292,0.13016532,-0.041584007,-0.17279507,0.16633603,0.1417301,-0.2069358,0.19986159,-0.06299116,0.07111111,0.16,0.153787,0.048227604,-0.09356401,-0.14769705,-0.13016532,0.02460592,-0.19986159,-0.075355634,-0.01574779,-0.035432525,-0.019930797,-0.06698962,0.2069358,-0.08421376,0.059115727,-0.06698962,0.17279507,0.02460592,-0.08421376,-0.153787,-0.03844675,-0.06698962,-0.11374087,-0.0022145328,0.13016532,-0.03844675,0.24415225,-0.1417301,0.07111111,0.07111111,-0.03254133,-0.10851211,0.019930797,0.17937717,0.06299116,-0.022206843,-0.4035986
S2094,1021.99994,-1.3825684,1379.0079,187.63428,22.596657,,1769.0,1322.0,2437.0,0.53414994,0.7705729,2094.5,18.36282,-15.4375,0.0,0.0,1.0808889,1251.4,61.5736,43.513676,120.381424,57.67844,1018.0,0.48781145,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1.0,0.25,5,2.302585093,1,2,-113.3458328|48.46250153,2,-113.3458328,48.46250153,-113.35,48.4666667,NA_,0.02460592,-0.059115727,-0.08421376,-0.0022145328,0.07972319,-0.059115727,0.06299116,0.00153787,0.012056901,-0.0005536332,-0.08882737,0.059115727,-0.06299116,-0.09842368,-0.32781237,0.08882737,0.07972319,-0.048227604,-0.11374087,0.12456747,0.08882737,-0.09356401,0.03254133,-0.07972319,0.03844675,-0.019930797,0.029773165,0.010396002,-0.017777778,-0.07111111,0.28444445,0.13588619,0.22889657,-0.03844675,-0.029773165,0.10851211,-0.013840831,0.11909266,-0.019930797,0.13016532,-0.29287198,0.16633603,-0.2069358,-0.18608227,-0.012056901,0.2069358,-0.13016532,-0.19986159,-0.2364629,-0.075355634,0.008858131,-0.035432525,-0.0039369473,0.17279507,0.22889657,0.022206843,-0.17937717,-0.21413302,-0.008858131,-0.0039369473,-0.11374087,0.16633603,-0.09842368,0.059115727
S3339,958.0,28.500244,663.0674,208.5332,62.79833,,360.0,909.0,4753.0,0.8497753,0.5271443,940.0,0.9274568,0.0625,0.0,0.0,141.32605,5795.8,196.95668,35.36112,214.89134,49.861366,729.0,0.75116986,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.0,0.25,5,2.197224577,2,8,-117.9708328|54.58750153,8,-117.9708328,54.58750153,-117.970426,54.58351057,2016,-0.07111111,-0.10851211,-0.019930797,-0.075355634,0.027128028,-0.16,-0.041584007,0.16633603,0.044844292,0.059115727,0.103406385,-0.05173395,-0.1417301,-0.153787,-0.24415225,0.1417301,0.06698962,-0.06299116,-0.103406385,-0.02460592,0.103406385,-0.14769705,0.06698962,-0.12456747,0.07111111,0.19291042,-0.14769705,-0.06299116,0.25196463,0.03844675,0.029773165,0.05173395,0.1417301,0.059115727,0.041584007,0.17937717,0.21413302,0.10851211,-0.12456747,-0.055363324,-0.11909266,-0.00615148,-0.16633603,0.2069358,-0.00153787,0.14769705,0.06299116,-0.32781237,0.013840831,-0.17937717,0.18608227,-0.027128028,-0.03254133,0.153787,0.13016532,0.16633603,0.07972319,-0.1417301,0.029773165,-0.048227604,-0.16633603,0.08882737,0.11374087,-0.022206843
S3650,1214.0,169.46729,1571.1934,307.45093,56.201653,41.0,765.0,475.0,2557.0,0.12217592,0.3102813,198.0,3.6310296,-4.8125,0.0,13.268652,22.345955,6789.0,200.0,36.171932,22.22334,61.78308,2146.0,0.3659008,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.5,1,3.700709249,1,3,111.0374985|29.65416718,3,111.0374985,29.65416718,111.0394444,29.6544444,2012,-0.010396002,-0.044844292,-0.01574779,0.17937717,0.103406385,-0.06299116,-0.32781237,0.18608227,0.00615148,0.07972319,0.05173395,0.11374087,-0.2214533,-0.044844292,-0.055363324,-0.2069358,-0.05173395,-0.07972319,-0.1417301,0.10851211,-0.10851211,-0.05173395,-0.044844292,-0.12456747,0.11374087,0.19986159,0.00615148,-0.08882737,0.05173395,0.12456747,0.055363324,0.05173395,0.12456747,-0.02460592,-0.13588619,0.08421376,-0.2214533,-0.13016532,0.14769705,0.08882737,-0.08882737,0.13588619,0.007443291,0.13016532,-0.048227604,0.044844292,0.1417301,0.14769705,0.075355634,0.08882737,-0.09842368,-0.13588619,0.035432525,0.19291042,0.21413302,-0.2214533,-0.16633603,-0.06698962,-0.16633603,-0.059115727,-0.048227604,-0.24415225,-0.022206843,0.07111111
S5427,942.0,10.533447,562.73254,193.56665,56.010002,,753.0,2920.0,3863.0,0.96480006,0.09124126,1323.5,2.2123065,2.25,0.0,0.0,101.49511,4379.0,194.05327,37.209507,182.86855,53.889946,855.0,0.7052143,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.0,0.25,5,0.6931471806,3,8,-118.6041641|53.87916565,8,-118.6041641,53.87916565,-118.60254,53.87838,2016,-0.013840831,-0.19291042,-0.02460592,-0.18608227,0.08882737,-0.07972319,-0.05173395,0.075355634,0.013840831,0.11909266,-0.08421376,-0.08882737,-0.14769705,-0.07111111,-0.25990003,0.13016532,0.08421376,-0.007443291,0.06299116,-0.05173395,0.03254133,-0.012056901,0.07111111,-0.16633603,-0.048227604,0.09356401,-0.153787,-0.07111111,0.25990003,-0.029773165,0.075355634,0.02460592,-0.007443291,-0.027128028,-0.09356401,0.14769705,0.153787,0.10851211,-0.08882737,0.06698962,-0.05173395,0.10851211,-0.28444445,0.10851211,-0.0022145328,0.18608227,0.055363324,-0.37425604,-0.09842368,-0.28444445,0.22889657,-0.027128028,-0.06299116,0.13016532,0.07111111,0.09842368,-0.055363324,-0.103406385,-0.01574779,-0.06299116,-0.14769705,0.07972319,0.10851211,-0.041584007
S2064,1374.0,74.416504,417.1671,262.44946,89.49667,89.0,1003.0,2580.0,2101.0,-0.6796748,-0.22632773,1293.5,2.247028,-3.0,0.0,2.2993238,0.07964444,2929.8,200.0,44.85779,15.262389,78.76913,1202.0,0.39002377,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.0,0.5,4,3.36729583,2,4,111.7125015|38.39583206,4,111.7125015,38.39583206,111.7088,38.3965,2010,-0.0039369473,-0.19986159,0.2069358,-0.2214533,-0.16,-0.01574779,-0.18608227,0.2679585,-0.059115727,-0.010396002,-0.00615148,-0.027128028,0.03844675,-0.010396002,0.044844292,-0.153787,-0.16,0.28444445,-0.11374087,-0.07111111,-0.03254133,0.14769705,-0.027128028,0.019930797,-0.14769705,0.0009842368,-0.059115727,-0.06698962,0.07111111,0.075355634,0.11374087,-0.06299116,0.14769705,0.16633603,-0.035432525,0.1417301,-0.013840831,-0.055363324,0.0039369473,-0.08421376,-0.022206843,0.048227604,0.019930797,-0.09356401,-0.08421376,0.16,0.24415225,0.1417301,-0.13588619,-0.25990003,0.13588619,0.027128028,0.13588619,0.022206843,-0.010396002,0.055363324,-0.16,-0.08421376,-0.22889657,0.07972319,-0.1417301,-0.08882737,-0.21413302,0.022206843
S1286,1642.0001,174.53271,467.03473,227.53369,67.9,34.0,408.0,3318.0,3902.0,-0.75359535,-0.6294365,679.5,12.901178,22.375,0.0,0.59393764,16.382933,21980.2,191.33606,39.16434,52.549675,64.353584,2040.0,0.14584456,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,100.0,5.0,12,3.33220451,1,5,-16.32083321|28.52916718,5,-16.32083321,28.52916718,-16.31777778,28.53166667,2017,0.11374087,-0.044844292,-0.17279507,0.022206843,-0.044844292,-0.055363324,0.004982699,0.12456747,0.34602076,-0.05173395,-0.08882737,0.075355634,-0.16633603,-0.022206843,-0.02460592,0.16,-0.2214533,-0.007443291,-0.07972319,-0.044844292,0.029773165,-0.059115727,0.19291042,-0.06698962,-0.14769705,0.1417301,-0.007443291,0.16633603,0.07111111,0.19986159,0.008858131,-0.02460592,0.09842368,0.19986159,0.035432525,0.0009842368,0.07111111,0.008858131,-0.14769705,0.041584007,0.27613994,-0.16633603,0.11374087,-0.12456747,-0.11374087,-0.07111111,-0.3100961,0.075355634,0.06299116,0.055363324,0.022206843,-0.075355634,0.05173395,0.08421376,0.013840831,-0.22889657,0.027128028,0.09356401,-0.21413302,-0.035432525,0.19291042,-0.13588619,-0.055363324,0.05173395
S3731,1628.0,202.49976,1341.9155,320.49976,40.89997,,204.0,2931.0,5772.0,0.70683587,0.28482434,31.0,1.3847717,-1.75,0.0,0.0,139.7721,13793.0,200.0,65.87431,50.158737,51.124813,1426.0,0.25427598,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,100.0,2.0,8,3.481178524,1,2,-82.4375|29.73749924,2,-82.4375,29.73749924,-82.44166667,29.735,2012,-0.017777778,-0.01574779,-0.16,0.21413302,-0.14769705,-0.2364629,0.07972319,0.18608227,0.08882737,-0.02460592,0.07972319,-0.013840831,-0.25196463,-0.00615148,0.02460592,0.09356401,-0.22889657,-0.022206843,-0.008858131,-0.055363324,0.027128028,0.07972319,-0.048227604,0.007443291,0.153787,0.075355634,-0.10851211,0.027128028,-0.041584007,0.19291042,0.08882737,0.11374087,-0.07972319,-0.11374087,-0.041584007,0.004982699,-0.21413302,-0.13016532,0.08421376,-0.19291042,-0.13588619,-0.029773165,0.1417301,0.044844292,0.05173395,-0.007443291,0.08421376,-0.17937717,0.36472127,-0.09842368,-0.21413302,-0.2069358,-0.09356401,0.11909266,0.06698962,0.075355634,0.027128028,0.10851211,0.012056901,-0.153787,-0.055363324,-0.16633603,0.10851211,-0.012056901
