sample_id,A00,A01,A02,A03,A04,A05,A06,A07,A08,A09,A10,A11,A12,A13,A14,A15,A16,A17,A18,A19,A20,A21,A22,A23,A24,A25,A26,A27,A28,A29,A30,A31,A32,A33,A34,A35,A36,A37,A38,A39,A40,A41,A42,A43,A44,A45,A46,A47,A48,A49,A50,A51,A52,A53,A54,A55,A56,A57,A58,A59,A60,A61,A62,A63,sequencing_platform454Roche,sequencing_platformIllumina,sample_typerhizosphere_soil,sample_typesoil,sample_typetopsoil,primersAML1_AML2_then_AMV4_5NF_AMDGR,primersAML1_AML2_then_NS31_AM1,primersAML1_AML2_then_nu_SSU_0595_5__nu_SSU_0948_3_,primersAMV4_5F_AMDGR,primersAMV4_5NF_AMDGR,primersGeoA2_AML2_then_NS31_AMDGR,primersGeoA2_NS4_then_NS31_AML2,primersGlomerWT0_Glomer1536_then_NS31_AM1A_and_GlomerWT0_Glomer1536_then_NS31_AM1B,primersGlomerWT0_Glomer1536_then_NS31_AM1A__GlomerWT0_Glomer1536_then_NS31_AM1B,primersNS1_NS4_then_AML1_AML2,primersNS1_NS4_then_AMV4_5NF_AMDGR,primersNS1_NS4_then_NS31_AM1,primersNS1_NS41_then_AML1_AML2,primersNS31_AM1,primersNS31_AML2,primersWANDA_AML2,area_sampled,extraction_dna_mass,Resolve_Biome,arbuscular_mycorrhizal_richness,CV_Fold_Random,CV_Fold_Spatial,geometry,knndmw_CV_folds,Pixel_Long,Pixel_Lat
S5669,0.14769705,-0.27613994,0.029773165,-0.17279507,-0.06698962,0.035432525,-0.041584007,0.2364629,0.0022145328,0.035432525,0.17937717,-0.012056901,-0.01574779,-0.027128028,-0.029773165,-0.17279507,-0.03844675,0.11909266,0.2679585,-0.08882737,0.055363324,-0.13016532,0.017777778,-0.10851211,0.075355634,0.09356401,-0.21413302,0.08421376,0.1417301,-0.055363324,0.07111111,0.048227604,0.09356401,0.16,-0.11909266,0.035432525,0.048227604,-0.022206843,-0.06299116,0.11374087,-0.30142254,-0.09842368,-0.103406385,0.21413302,-0.06698962,0.08421376,0.01574779,-0.25196463,0.153787,-0.13016532,0.09842368,-0.075355634,0.07111111,0.017777778,0.09356401,0.2364629,0.059115727,0.11909266,-0.13588619,0.029773165,-0.075355634,0.13016532,0.16633603,0.06698962,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.0,0.25,6,1.575467381,1,6,-119.6958313|54.8125,6,-119.6958313,54.8125
S1697,-0.08421376,-0.06299116,0.010396002,-0.17937717,0.004982699,-0.17279507,-0.11374087,0.24415225,0.16633603,-0.07111111,0.02460592,0.2364629,-0.05173395,0.2214533,-0.08421376,0.044844292,-0.08882737,-0.03844675,-0.09356401,-0.07972319,0.029773165,0.048227604,-0.027128028,0.0039369473,-0.16633603,0.1417301,0.153787,0.03844675,0.09842368,-0.19986159,-0.07972319,-0.16,-0.044844292,-0.12456747,0.153787,0.16,-0.01574779,0.03844675,0.09356401,0.059115727,-0.06698962,0.12456747,0.02460592,-0.25196463,-0.153787,0.11374087,0.25196463,-0.08882737,0.06299116,-0.0009842368,0.09356401,0.13016532,-0.19291042,-0.004982699,0.153787,0.16,-0.055363324,-0.013840831,0.055363324,-0.25196463,-0.17279507,-0.007443291,-0.13016532,0.1417301,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,100.0,0.5,4,2.890316231,1,10,-73.37083435|45.72083282,10,-73.37083435,45.72083282
S1051,0.00615148,0.06698962,-0.103406385,-0.075355634,-0.029773165,0.16,0.08421376,0.11909266,0.022206843,-0.16633603,-0.00615148,-0.11909266,-0.11909266,-0.11909266,-0.019930797,-0.07111111,-0.103406385,0.16633603,-0.010396002,-0.16,0.16,0.153787,-0.21413302,0.1417301,-0.09842368,0.103406385,0.1417301,0.16633603,0.02460592,-0.11374087,-0.153787,-0.09842368,0.022206843,-0.19291042,-0.1417301,-0.048227604,-0.044844292,-0.07111111,-0.10851211,0.21413302,-0.1417301,0.059115727,-0.09842368,0.11909266,-0.008858131,-0.08421376,-0.14769705,-0.08882737,-0.035432525,-0.16,0.05173395,0.13588619,0.013840831,0.3553095,-0.13016532,0.022206843,0.07972319,-0.044844292,-0.027128028,0.00615148,0.13016532,-0.012056901,0.027128028,-0.37425604,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,100.0,5.0,7,3.737669618,1,8,-47.47916794|-13.5625,8,-47.47916794,-13.5625
S2094,0.00615148,-0.103406385,-0.10851211,-0.06698962,0.06299116,-0.03844675,0.059115727,-0.019930797,0.017777778,0.01574779,-0.13016532,0.06299116,-0.103406385,-0.12456747,-0.27613994,0.13016532,0.075355634,-0.029773165,-0.1417301,0.12456747,0.08421376,-0.08421376,-0.0039369473,-0.044844292,-0.03844675,0.01574779,0.008858131,0.010396002,0.055363324,-0.029773165,0.28444445,0.055363324,0.25196463,-0.05173395,-0.027128028,0.06698962,-0.008858131,0.08421376,-0.055363324,0.11909266,-0.29287198,0.1417301,-0.19986159,-0.153787,0.01574779,0.21413302,-0.075355634,-0.19291042,-0.27613994,-0.09356401,0.008858131,-0.03844675,-0.022206843,0.16633603,0.24415225,0.055363324,-0.16,-0.2364629,0.012056901,0.01574779,-0.1417301,0.16633603,-0.09356401,0.06299116,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1.0,0.25,5,2.302585093,1,2,-113.3458328|48.46250153,2,-113.3458328,48.46250153
S3339,0.07111111,-0.18608227,0.09842368,-0.019930797,-0.08882737,-0.12456747,-0.027128028,0.21413302,0.013840831,0.029773165,0.19291042,0.029773165,-0.027128028,-0.12456747,-0.06299116,0.07111111,0.041584007,-0.05173395,0.05173395,-0.059115727,0.09842368,-0.2364629,0.075355634,-0.07972319,0.09356401,0.13016532,-0.14769705,0.00615148,0.19291042,-0.004982699,0.013840831,0.041584007,0.22889657,0.09842368,-0.07972319,0.16,0.19291042,-0.019930797,-0.16,0.041584007,-0.2069358,-0.01574779,-0.19986159,0.2679585,-0.08421376,0.048227604,0.06698962,-0.24415225,0.153787,-0.16633603,0.12456747,-0.08882737,-0.01574779,0.19291042,0.09356401,0.2214533,0.075355634,-0.055363324,-0.09356401,-0.013840831,-0.153787,0.09842368,0.153787,0.103406385,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.0,0.25,5,2.197224577,2,8,-117.9708328|54.58750153,8,-117.9708328,54.58750153
S3650,0.05173395,-0.08882737,0.029773165,0.14769705,0.12456747,-0.035432525,-0.32781237,0.17279507,0.0022145328,0.07111111,0.06698962,0.12456747,-0.25196463,0.00615148,-0.007443291,-0.17937717,-0.03844675,-0.05173395,-0.13016532,0.08882737,-0.06698962,-0.075355634,0.013840831,-0.14769705,0.041584007,0.153787,0.02460592,-0.09842368,-0.0039369473,0.10851211,0.12456747,0.027128028,0.12456747,-0.022206843,-0.16633603,0.14769705,-0.25990003,-0.10851211,0.14769705,0.08882737,-0.09842368,0.153787,-0.0005536332,0.2214533,-0.029773165,0.07111111,0.09842368,0.19986159,0.03844675,0.06299116,-0.048227604,-0.11909266,0.03254133,0.17937717,0.18608227,-0.22889657,-0.16,-0.029773165,-0.18608227,-0.09356401,-0.03844675,-0.17937717,-0.06698962,0.055363324,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.5,1,3.700709249,1,3,111.0374985|29.65416718,3,111.0374985,29.65416718
S5427,0.07111111,-0.22889657,0.059115727,-0.2069358,0.08421376,-0.06299116,-0.075355634,0.075355634,-0.01574779,0.08882737,-0.06698962,-0.055363324,-0.11909266,-0.059115727,-0.18608227,0.153787,0.11909266,-0.00153787,0.1417301,-0.044844292,0.044844292,-0.03254133,0.07972319,-0.14769705,-0.06698962,0.08882737,-0.09356401,-0.08421376,0.25990003,-0.044844292,0.029773165,-0.012056901,0.044844292,-0.013840831,-0.1417301,0.16,0.16,0.11374087,-0.13588619,0.13588619,-0.055363324,0.06299116,-0.25196463,0.14769705,0.017777778,0.13588619,0.055363324,-0.28444445,-0.02460592,-0.30142254,0.25196463,-0.06299116,0.012056901,0.19291042,-0.019930797,0.153787,-0.09842368,-0.1417301,-0.00615148,-0.041584007,-0.10851211,0.16,0.07111111,0.029773165,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.0,0.25,5,0.6931471806,3,8,-118.6041641|53.87916565,8,-118.6041641,53.87916565
S2064,-0.01574779,-0.19986159,0.2069358,-0.16633603,-0.13588619,-0.044844292,-0.17937717,0.32781237,-0.01574779,0.013840831,-0.03254133,-0.075355634,0.055363324,-0.059115727,0.029773165,-0.12456747,-0.16,0.31889275,-0.07111111,-0.03254133,-0.08421376,0.14769705,0.055363324,0.059115727,-0.09842368,0.03254133,-0.09842368,-0.035432525,0.11909266,0.041584007,0.07111111,-0.09356401,0.14769705,0.2069358,-0.019930797,0.11909266,0.035432525,-0.10851211,0.010396002,-0.09356401,-0.055363324,0.09842368,0.019930797,-0.10851211,-0.103406385,0.17937717,0.2214533,0.14769705,-0.12456747,-0.24415225,0.13588619,0.05173395,0.10851211,0.027128028,0.055363324,0.03844675,-0.09356401,-0.010396002,-0.21413302,0.05173395,-0.14769705,-0.11909266,-0.19986159,0.0022145328,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.0,0.5,4,3.36729583,2,4,111.7125015|38.39583206,4,111.7125015,38.39583206
S1286,0.09842368,-0.01574779,-0.17937717,0.048227604,-0.103406385,-0.06299116,0.00615148,0.08882737,0.32781237,-0.06698962,-0.03844675,0.153787,-0.13016532,-0.03254133,-0.048227604,0.22889657,-0.25196463,0.017777778,-0.12456747,-0.06299116,0.0030142253,-0.012056901,0.12456747,-0.03844675,-0.17279507,0.13588619,0.004982699,0.153787,0.09356401,0.19291042,0.010396002,0.03844675,0.027128028,0.2214533,0.019930797,-0.008858131,0.08882737,-0.01574779,-0.12456747,0.048227604,0.29287198,-0.153787,0.16633603,-0.13016532,-0.059115727,-0.07972319,-0.29287198,0.041584007,0.11909266,0.044844292,-0.012056901,-0.075355634,0.03254133,0.09356401,-0.041584007,-0.2679585,0.055363324,0.03844675,-0.19986159,-0.00615148,0.11374087,-0.059115727,-0.07972319,0.059115727,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,100.0,5.0,12,3.33220451,1,5,-16.32083321|28.52916718,5,-16.32083321,28.52916718
S3731,-0.01574779,0.022206843,-0.17279507,0.153787,-0.18608227,-0.24415225,0.07972319,0.12456747,0.03254133,-0.075355634,0.103406385,0.012056901,-0.22889657,0.029773165,-0.013840831,0.09842368,-0.2364629,-0.059115727,-0.013840831,-0.07111111,0.022206843,0.03844675,-0.07111111,0.05173395,0.1417301,0.059115727,-0.08421376,0.027128028,-0.055363324,0.17937717,0.11374087,0.041584007,-0.11374087,-0.06299116,-0.048227604,0.010396002,-0.2364629,-0.08421376,0.075355634,-0.21413302,-0.17279507,-0.017777778,0.17279507,0.06299116,0.055363324,0.03254133,0.13588619,-0.1417301,0.3553095,-0.103406385,-0.2069358,-0.2214533,-0.059115727,0.1417301,0.11374087,0.06299116,0.027128028,0.11909266,0.022206843,-0.09356401,-0.07972319,-0.16633603,0.16,0.02460592,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,100.0,2.0,8,3.481178524,1,2,-82.4375|29.73749924,2,-82.4375,29.73749924
