sample_id,A00,A01,A02,A03,A04,A05,A06,A07,A08,A09,A10,A11,A12,A13,A14,A15,A16,A17,A18,A19,A20,A21,A22,A23,A24,A25,A26,A27,A28,A29,A30,A31,A32,A33,A34,A35,A36,A37,A38,A39,A40,A41,A42,A43,A44,A45,A46,A47,A48,A49,A50,A51,A52,A53,A54,A55,A56,A57,A58,A59,A60,A61,A62,A63,sequencing_platform454Roche,sequencing_platformIllumina,sequencing_platformIonTorrent,sequencing_platformPacBio,sample_typerhizosphere_soil,sample_typesoil,sample_typetopsoil,primers5_8S_Fun_ITS4_Fun,primersfITS7_ITS4,primersfITS9_ITS4,primersgITS7_ITS4,primersgITS7_ITS4_then_ITS9_ITS4,primersgITS7_ITS4_ITS4arch,primersgITS7_ITS4m,primersgITS7_ITS4ngs,primersgITS7ngs_ITS4ngsUni,primersITS_S2F___ITS3_mixed_1_1_ITS4,primersITS1_ITS4,primersITS1F_ITS4,primersITS1F_ITS4_then_fITS7_ITS4,primersITS1F_ITS4_then_ITS3_ITS4,primersITS1ngs_ITS4ngs_or_ITS1Fngs_ITS4ngs,primersITS3_KYO2_ITS4,primersITS3_ITS4,primersITS3ngs1_to_5___ITS3ngs10_ITS4ngs,primersITS3ngs1_to_ITS3ngs11_ITS4ngs,primersITS86F_ITS4,primersITS9MUNngs_ITS4ngsUni,area_sampled,extraction_dna_mass,Resolve_Biome,ectomycorrhizal_richness,CV_Fold_Random,geometry,knndmw_CV_folds,Pixel_Long,Pixel_Lat,longitude,latitude,year_of_sampling
S000172,-0.07972319,-0.16,0.1417301,-0.11374087,0.048227604,-0.153787,0.05173395,-0.08421376,-0.029773165,-0.1417301,0.13588619,0.10851211,-0.044844292,0.0022145328,-0.13588619,0.035432525,0.041584007,0.33685505,0.12456747,0.027128028,-0.00153787,0.09356401,0.08421376,0.18608227,-0.027128028,0.075355634,0.11374087,-0.05173395,0.09356401,-0.041584007,-0.06299116,-0.03844675,0.13016532,0.00615148,0.13016532,-0.055363324,-0.27613994,0.09356401,-0.048227604,-0.10851211,-0.153787,-0.18608227,-0.07111111,-0.09356401,0.044844292,0.13016532,-0.06299116,0.11909266,0.3100961,-0.06698962,-0.16633603,0.17279507,-0.13016532,-0.10851211,0.2364629,-0.22889657,0.012056901,-0.07972319,0.14769705,-0.09842368,0.044844292,0.00153787,0.035432525,-0.16,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,100.0,1.0,4,1.252762968,1,5.370833397|51.12916565,3,5.370833397,51.12916565,5.372778,51.125833,2009.0
GF4S02052b,-0.048227604,-0.12456747,-0.022206843,-0.08882737,0.004982699,-0.25196463,-0.05173395,0.21413302,0.19291042,0.035432525,0.12456747,0.103406385,-0.07111111,-0.09356401,-0.21413302,-0.022206843,0.2069358,-0.14769705,-0.11909266,0.027128028,0.1417301,-0.06698962,0.03844675,-0.16633603,-0.044844292,0.25196463,-0.05173395,0.059115727,0.103406385,-0.027128028,-0.035432525,0.03254133,0.17279507,-0.075355634,-0.07111111,0.035432525,0.25990003,0.103406385,-0.11909266,-0.022206843,-0.03254133,-0.0022145328,-0.27613994,0.019930797,-0.06698962,0.0030142253,0.06299116,-0.3553095,0.019930797,-0.059115727,0.048227604,-0.013840831,-0.03254133,0.012056901,0.11909266,0.21413302,-0.01574779,-0.1417301,-0.059115727,-0.06299116,-0.11374087,0.075355634,0.18608227,0.14769705,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.125,11,3.295466419,1,18.84583282|68.32917023,2,18.84583282,68.32917023,18.849,68.328056,2008.0
FMS06172v3,0.12456747,-0.07972319,0.029773165,0.004982699,0.08882737,-0.03844675,-0.2069358,0.12456747,0.11909266,0.12456747,0.075355634,0.022206843,-0.37425604,0.03844675,-0.01574779,-0.035432525,0.03844675,-0.09842368,-0.19291042,-0.17937717,-0.05173395,-0.041584007,0.11374087,-0.18608227,0.055363324,-0.0022145328,0.055363324,-0.048227604,-0.16,0.11374087,-0.027128028,0.02460592,0.01574779,-0.13588619,-0.14769705,-0.11374087,-0.24415225,-0.03254133,0.08882737,-0.05173395,0.12456747,-0.027128028,-0.07111111,0.30142254,-0.035432525,-0.029773165,-0.02460592,0.25990003,0.13016532,0.07972319,0.059115727,-0.16633603,0.11909266,0.07111111,0.13016532,-0.03844675,-0.05173395,-0.07972319,-0.2069358,-0.13588619,0.16633603,-0.19986159,0.10851211,0.03844675,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.002,0.5,1,0.0,1,101.2874985|21.91250038,9,101.2874985,21.91250038,101.28588,21.90957,2013.0
GF4S21821b,-0.103406385,-0.25990003,-0.044844292,-0.153787,0.01574779,-0.19291042,-0.09842368,-0.02460592,-0.09842368,0.029773165,0.2069358,0.008858131,0.07111111,-0.07111111,-0.27613994,-0.08421376,0.13588619,0.2069358,0.012056901,0.010396002,0.017777778,-0.11374087,-0.06299116,0.06299116,0.010396002,0.2214533,0.1417301,0.06698962,-0.041584007,0.07111111,-0.06299116,-0.019930797,0.08421376,-0.13016532,0.153787,-0.11374087,-0.2069358,0.06698962,0.0002460592,0.10851211,-0.08882737,-0.19986159,-0.00153787,-0.029773165,0.041584007,0.13016532,-0.012056901,-0.027128028,0.27613994,-0.2214533,-0.13588619,0.17279507,0.041584007,-0.10851211,0.2679585,-0.2069358,0.1417301,0.055363324,0.05173395,-0.06698962,0.10851211,-0.010396002,0.00615148,-0.041584007,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,625.0,2.0,4,2.251291799,2,26.72083282|58.38750076,1,26.72083282,58.38750076,26.7189,58.3835,2017.0
FMS19502v2,0.07111111,-0.12456747,0.19291042,-0.12456747,0.017777778,0.21413302,-0.19291042,0.13016532,-0.07972319,0.16633603,0.055363324,-0.17937717,0.035432525,-0.09842368,-0.059115727,0.017777778,-0.02460592,0.18608227,0.2069358,-0.07111111,-0.12456747,-0.11909266,-0.012056901,0.012056901,-0.13588619,0.13588619,0.153787,-0.11909266,0.06698962,-0.027128028,0.13016532,-0.022206843,0.13588619,-0.09842368,-0.048227604,0.13588619,-0.013840831,0.09356401,0.022206843,-0.18608227,0.14769705,-0.16,0.18608227,-0.153787,-0.06698962,0.13016532,0.03844675,-0.103406385,0.00615148,-0.28444445,0.13588619,-0.1417301,0.048227604,-0.03254133,0.09842368,-0.09842368,-0.07972319,-0.03844675,-0.18608227,0.12456747,-0.11374087,0.007443291,-0.28444445,-0.07111111,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1.0,0.2,13,0.0,1,112.8125|43.72083282,4,112.8125,43.72083282,112.8157333,43.71823333,2015.0
GF4S03664b,-0.09842368,-0.17937717,-0.12456747,0.103406385,-0.075355634,-0.07972319,0.010396002,0.029773165,0.029773165,0.09356401,0.27613994,0.019930797,0.048227604,0.01574779,-0.29287198,-0.055363324,-0.09356401,0.05173395,-0.12456747,-0.00615148,0.13588619,-0.103406385,0.16,-0.11909266,0.029773165,-0.16633603,-0.008858131,0.09356401,-0.19291042,-0.03844675,0.16633603,0.19986159,-0.022206843,-0.05173395,-0.17937717,-0.02460592,-0.21413302,-0.10851211,0.019930797,0.11374087,-0.055363324,0.03254133,-0.06698962,-0.1417301,-0.09842368,0.13016532,-0.06299116,0.10851211,-0.12456747,0.0039369473,0.01574779,0.055363324,0.027128028,0.12456747,0.2214533,-0.11374087,-0.1417301,-0.09356401,-0.13016532,-0.1417301,-0.08421376,0.30142254,-0.17937717,-0.17937717,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2500.0,0.5,5,4.397506219,1,100.1708298|27.17083359,7,100.1708298,27.17083359,100.167,27.167,2015.0
GF4S21302b,-0.13016532,-0.05173395,-0.11374087,-0.10851211,-0.08421376,-0.2364629,0.007443291,0.25990003,0.11909266,-0.048227604,0.11909266,-0.06299116,-0.029773165,0.05173395,-0.21413302,-0.19291042,-0.11374087,0.017777778,0.09842368,-0.010396002,0.08421376,-0.06698962,-0.09356401,0.02460592,0.055363324,0.13588619,0.11374087,-0.103406385,0.11374087,0.13016532,-0.059115727,0.07972319,-0.019930797,0.03844675,0.055363324,0.21413302,0.041584007,0.13588619,-0.06698962,-0.055363324,-0.08882737,-0.01574779,-0.09842368,0.055363324,0.03254133,0.06299116,0.08421376,-0.21413302,0.3100961,-0.28444445,-0.2364629,0.16,0.16,-0.14769705,0.18608227,0.17279507,0.153787,0.08421376,-0.07972319,-0.075355634,0.03254133,-0.05173395,0.059115727,-0.01574779,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1250.0,2.0,4,4.792844037,3,26.38750076|58.63750076,1,26.38750076,58.63750076,26.38555,58.6339,2020.0
GF4T124otu,-0.010396002,0.035432525,0.18608227,-0.075355634,0.12456747,-0.06698962,-0.048227604,0.153787,0.13588619,-0.029773165,-0.08421376,0.2679585,-0.013840831,0.075355634,-0.17937717,-0.11374087,-0.18608227,0.027128028,-0.13588619,0.11374087,-0.19986159,-0.041584007,0.0009842368,0.09356401,-0.11909266,-0.17279507,-0.13016532,-0.041584007,-0.19291042,-0.11374087,0.103406385,0.09356401,-0.16,0.075355634,-0.044844292,0.07972319,0.14769705,-0.13588619,-0.16633603,-0.022206843,0.13016532,-0.32781237,0.16633603,0.06698962,-0.055363324,0.17937717,-0.048227604,0.019930797,0.010396002,0.09356401,-0.03254133,-0.08882737,-0.03844675,-0.027128028,0.18608227,0.048227604,-0.0039369473,-0.075355634,0.013840831,0.153787,0.08421376,0.103406385,0.13588619,-0.30142254,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20000.0,2.0,1,2.061404838,2,146.9125061|-6.637499809,8,146.9125061,-6.637499809,146.91,-6.64,2011.0
GF3S05821a,-0.044844292,-0.019930797,-0.11374087,0.01574779,0.03844675,-0.19986159,0.10851211,0.28444445,0.153787,0.08882737,0.3100961,-0.10851211,-0.017777778,-0.0030142253,-0.11909266,0.03844675,-0.09842368,0.0022145328,-0.019930797,-0.029773165,0.16633603,0.0002460592,-0.029773165,0.055363324,0.21413302,0.035432525,-0.103406385,-0.08421376,0.00153787,0.048227604,-0.08882737,0.07111111,0.07972319,0.10851211,0.22889657,0.00153787,-0.2214533,-0.059115727,-0.059115727,-0.2364629,-0.16633603,0.008858131,0.06698962,-0.029773165,-0.2069358,0.07111111,0.21413302,-0.2214533,0.1417301,-0.10851211,-0.11909266,0.0009842368,0.041584007,0.12456747,0.17937717,0.25990003,0.07972319,0.055363324,-0.1417301,-0.07972319,0.06698962,-0.059115727,0.06698962,-0.035432525,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.0,0.9,4,3.69506034,4,14.71249962|48.66249847,10,14.71249962,48.66249847,14.70904809,48.6648688,2015.0
FMSA8F1083v2,-0.044844292,0.059115727,-0.035432525,0.05173395,0.017777778,-0.22889657,-0.01574779,0.09356401,0.22889657,0.022206843,0.09842368,-0.06698962,-0.11374087,-0.08882737,-0.2679585,0.07111111,-0.16,0.059115727,-0.19291042,-0.19986159,0.022206843,0.17279507,-0.17937717,0.08882737,0.048227604,-0.03254133,-0.2364629,0.007443291,-0.075355634,0.004982699,-0.07111111,0.12456747,-0.1417301,0.075355634,0.13016532,-0.17279507,-0.16633603,-0.2214533,-0.059115727,-0.24415225,-0.059115727,0.029773165,0.13588619,-0.13588619,-0.09842368,0.09356401,0.13588619,-0.2679585,0.03844675,-0.21413302,-0.004982699,-0.01574779,-0.008858131,0.09842368,0.017777778,0.055363324,0.12456747,0.13588619,-0.09356401,-0.09356401,0.013840831,-0.08882737,-0.09356401,-0.10851211,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.0,0.5,4,5.147773532,5,-83.49583435|35.00416565,3,-83.49583435,35.00416565,-83.5,35.0,2012.0
