sample_id,A00,A01,A02,A03,A04,A05,A06,A07,A08,A09,A10,A11,A12,A13,A14,A15,A16,A17,A18,A19,A20,A21,A22,A23,A24,A25,A26,A27,A28,A29,A30,A31,A32,A33,A34,A35,A36,A37,A38,A39,A40,A41,A42,A43,A44,A45,A46,A47,A48,A49,A50,A51,A52,A53,A54,A55,A56,A57,A58,A59,A60,A61,A62,A63,sequencing_platform454Roche,sequencing_platformIllumina,sequencing_platformIonTorrent,sequencing_platformPacBio,sample_typerhizosphere_soil,sample_typesoil,sample_typetopsoil,primers5_8S_Fun_ITS4_Fun,primersfITS7_ITS4,primersfITS9_ITS4,primersgITS7_ITS4,primersgITS7_ITS4_then_ITS9_ITS4,primersgITS7_ITS4_ITS4arch,primersgITS7_ITS4m,primersgITS7_ITS4ngs,primersgITS7ngs_ITS4ngsUni,primersITS_S2F___ITS3_mixed_1_1_ITS4,primersITS1_ITS4,primersITS1F_ITS4,primersITS1F_ITS4_then_fITS7_ITS4,primersITS1F_ITS4_then_ITS3_ITS4,primersITS1ngs_ITS4ngs_or_ITS1Fngs_ITS4ngs,primersITS3_KYO2_ITS4,primersITS3_ITS4,primersITS3ngs1_to_5___ITS3ngs10_ITS4ngs,primersITS3ngs1_to_ITS3ngs11_ITS4ngs,primersITS86F_ITS4,primersITS9MUNngs_ITS4ngsUni,area_sampled,extraction_dna_mass,Resolve_Biome,ectomycorrhizal_richness,CV_Fold_Random,geometry,knndmw_CV_folds,Pixel_Long,Pixel_Lat
S000172,0.07908712,0.20899357,-0.22900766,-0.0018633157,0.16044714,0.04507981,0.059148196,0.14779934,0.095585085,0.19399156,-0.08971885,-0.23018791,-0.016386572,-0.14426865,0.07764324,-0.21156985,-0.15153468,-0.0012258458,-0.109432064,0.10987418,0.29161865,0.023227481,0.012178052,0.32801944,0.3046689,-0.027183034,-0.0059992136,0.34250504,0.037709504,-0.111891165,0.20605798,-0.02426045,-0.17181501,-0.057805087,0.09018713,0.023938498,0.025074461,0.053643953,0.04728947,-0.102237545,-0.16728365,0.04657417,-0.039476983,-0.06447793,-0.032271106,-0.09461082,-0.007187251,0.076674044,0.016923187,-0.0014413105,-0.071783654,-0.028305596,-0.00095193903,-0.028889341,0.036342107,0.0074360324,0.05832771,0.040688045,0.01770617,0.020932008,-0.031108182,-0.014068582,-0.0005019605,-0.024675943,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,100.0,1.0,4,1.252762968,1,5.370833397|51.12916565,3,5.370833397,51.12916565
GF4S02052b,-0.2758548,-0.5322141,-0.222808,0.1287902,-0.28768012,-0.11209547,-0.2244103,-0.12603195,-0.019147012,0.13115075,-0.17410953,-0.020594744,0.102390654,0.09138549,0.013451592,0.09419653,0.030386625,0.038411688,0.0068205204,0.022939872,-0.0019779205,-0.107345834,-0.0057916893,0.024519734,-0.09511142,0.02785996,0.021458276,-0.06208883,0.07087973,-0.062364463,-0.027033376,0.08075089,0.010688726,-0.050891258,0.030029297,0.027803592,0.0021370745,0.024183827,0.031491436,-0.006952786,0.004023554,0.03711394,0.022267314,0.027715452,-0.076785214,0.0030355514,0.016666673,0.02493041,0.027055351,-0.0040729623,-0.03840963,-0.017222865,0.0014194826,-0.00596687,-0.030193346,-0.03316955,0.0068143066,-0.02303389,0.011811689,-0.017279979,-0.010638174,0.011024602,-0.0068902504,-0.005289674,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.125,11,3.295466419,1,18.84583282|68.32917023,2,18.84583282,68.32917023
FMS06172v3,0.48429242,0.06459252,0.24126224,0.1303324,0.14629346,0.21415985,-0.1902931,-0.18993971,-0.33061245,0.13312542,-0.3297342,-0.041685853,-0.012700949,-0.09058055,0.022679415,-0.08998783,0.0904432,0.034964878,-0.04548261,0.1739497,-0.13252302,0.013335684,0.0005257094,-0.0134174125,-0.18157865,0.08742133,0.08135021,-0.1009184,0.09434389,0.052383184,-0.056832194,0.115234725,0.052539352,-0.010753297,-0.027348028,-0.0073363427,0.064966924,0.051558357,-0.20393321,-0.05472883,-0.024772588,-0.03271256,0.028449211,0.029944144,0.010203241,-0.08266856,0.07658025,-0.050533593,0.022129366,-0.013642729,0.084114924,-0.0106773395,0.052879717,0.00040725738,0.013416333,0.0039072903,0.0065796524,-0.013827458,-0.013074568,-0.008723088,-0.0033949912,-0.031897455,-0.0057851523,-0.0025305562,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.002,0.5,1,0.0,1,101.2874985|21.91250038,9,101.2874985,21.91250038
GF4S21821b,-0.15155222,0.16601901,-0.095234394,-0.008223264,0.05000167,0.09265955,-0.06715977,0.21301636,0.15826337,0.35637438,-0.08818715,-0.15180679,-0.030941816,-0.22652686,-0.00063642533,-0.2705332,-0.14823543,-0.070813544,-0.15901612,-0.02618067,0.23021251,0.051534146,0.06720372,0.2644322,0.16043441,0.074382715,-0.1071822,0.022343492,-0.07072919,-0.0102666905,-0.033651106,0.05073243,0.0110943075,0.0743763,-0.05158117,-0.06599938,-0.13523766,0.11116898,-0.1882358,0.010382489,-0.018377157,0.087361306,-0.14465074,-0.073841244,-0.0059055276,-0.053675555,0.014507881,0.05183571,-0.012333072,0.039202,-0.027771547,-0.03618931,0.0015384263,-0.0065649655,0.00422749,-0.02953851,0.014915489,-0.0019100923,0.014978275,0.04948272,0.0015208274,0.008409923,0.0037771612,-0.0120753255,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,625.0,2.0,4,2.251291799,2,26.72083282|58.38750076,1,26.72083282,58.38750076
FMS19502v2,0.21256925,-0.0883588,-0.22832313,0.2565637,0.09541826,0.226125,0.20941757,0.15211028,0.22102521,-0.14077444,0.054342076,-0.18823114,0.07078021,-0.057328932,-0.008402628,0.043291867,0.29190764,-0.25023115,0.19773987,0.08877856,0.051034745,0.05310031,-0.1230817,0.07851308,0.13324416,0.19947106,-0.19836861,-0.16227862,0.020131802,-0.073986,0.063129075,0.07165123,-0.013435472,0.016162464,-0.067921884,0.037331864,-0.19901879,0.15354946,0.10873707,0.19794461,0.047528047,-0.15154897,-0.1308195,0.09400247,-0.0235441,-0.11697667,0.017082259,0.020901388,0.0852096,0.053599574,0.12039978,0.0020517686,-0.113625444,-0.060203347,-0.05675813,-0.041145086,0.02278704,-0.019829735,0.03973764,-0.03156334,0.020374227,-1.8496066e-05,-0.01996687,0.023213103,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1.0,0.2,13,0.0,1,112.8125|43.72083282,4,112.8125,43.72083282
GF4S03664b,0.47138885,-0.02371902,0.19133142,0.26852822,-0.15122718,0.009954952,-0.2195276,0.6738119,0.0066298936,0.08423964,0.007929504,0.13480932,-0.099911414,0.019528277,0.027396718,0.053317014,-0.10061326,0.05121646,-0.048837908,-0.06134736,-0.0519087,0.067872666,0.009423511,0.021377493,0.004391708,-0.010540779,0.0043047257,-0.04935759,-0.026932249,0.01283319,-0.0051913206,-0.016478468,-0.026693176,0.024031624,-0.019102344,-0.015352077,-0.027859464,-0.027739272,0.001588566,-0.025462808,-0.0070503107,-0.007275533,-0.00026129515,0.025975576,0.00809525,-0.01978445,-0.028793514,-0.013885903,-0.0046281554,0.0037575287,-0.0035387499,0.0026257716,0.0032464399,-0.010118491,-0.0010485316,-0.004167105,-0.00471903,0.0006868057,0.008485109,0.003832765,-0.0044150297,0.001469329,0.0016704703,0.0010730028,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2500.0,0.5,5,4.397506219,1,100.1708298|27.17083359,7,100.1708298,27.17083359
GF4S21302b,-0.6292811,-0.018550457,-0.0131332725,-0.042484723,0.11724146,0.054131627,-0.098622724,-0.059473988,0.0059757684,-0.106258206,0.010226157,0.051352136,0.0013310204,-0.036129855,-0.059824415,-0.032965906,-0.039728325,-0.041680217,0.031521987,0.007502698,-0.063197814,0.05931922,-0.013699642,0.031065801,-0.056087922,-0.104415335,0.0013354355,-0.042153776,0.02384651,-0.011946486,-0.03917632,0.0032470124,-0.010858787,0.026785549,-0.027747203,0.013813457,-0.018727852,-0.011339243,0.046046574,-0.034223277,0.014984815,0.031123338,-0.00089831994,-0.042454895,0.06436263,0.03088601,0.010074448,-0.0064668115,-0.028113993,-0.02448351,0.025219724,-0.004169364,0.036027465,0.015095016,-0.011243725,0.03144317,-0.008523303,-0.015749967,0.0051176604,0.025698695,-0.0051605916,-0.0020050034,0.023626339,0.00403194,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1250.0,2.0,4,4.792844037,3,26.38750076|58.63750076,1,26.38750076,58.63750076
GF4T124otu,0.32899028,-0.032038555,-0.10368136,-0.10309175,-0.042899653,0.09604049,-0.049452927,0.0022889893,-0.13316464,0.031189745,0.25014213,-0.18604685,0.026258923,-0.077914156,0.083529025,0.1794829,0.14759943,0.062987134,-0.049309097,-0.17681813,0.09969216,0.4449701,-0.14825019,-0.060606357,-0.07524311,-0.24520499,0.21405247,0.27023315,-0.18920177,-0.4139919,0.20531088,0.077705726,-0.022568619,-0.08828424,-0.047704287,0.18834458,-0.07391736,-0.0084823435,-0.052849524,0.1435654,0.0075215586,-0.06491952,-0.07748127,0.12499669,0.019439863,-0.037105802,0.018234022,-0.0074926326,-0.0014826369,0.06056032,-0.04700293,-0.04456991,0.06427354,0.07962107,0.0102376025,0.02872406,-0.0020954031,-0.001958931,0.027312635,-0.023430778,0.018283745,0.021377994,0.025531858,0.0020771178,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20000.0,2.0,1,2.061404838,2,146.9125061|-6.637499809,8,146.9125061,-6.637499809
GF3S05821a,-0.1788842,0.45582128,0.31850237,0.041194472,-0.32759792,-0.25848833,0.11888892,-0.0025641578,-0.061263565,-0.045837484,-0.055218853,-0.124285586,0.04210687,-0.00820417,-0.016953927,-0.09824826,0.065477654,0.058534075,0.07264074,0.12322957,0.00029057424,-0.030994864,-0.028074006,0.049315747,-0.07154359,0.0006688422,-0.0036843158,-0.07421801,-0.026340269,-0.021786211,0.052114602,-0.020615634,0.05099983,-0.03689879,0.047951624,0.01393008,0.001633636,-0.027479608,-0.029676156,-0.038273897,-0.011967501,-0.02815855,0.020649403,0.06599574,0.042714145,0.012393312,0.011558422,0.007444981,-0.028485984,0.01711883,-0.038328078,-0.040494826,-0.004818135,0.016649682,0.0047387797,0.0027606527,0.001856947,0.0025496103,-0.0060172477,-0.0001276366,0.0009945565,-0.0021742005,-0.017874023,-0.008818355,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.0,0.9,4,3.69506034,4,14.71249962|48.66249847,10,14.71249962,48.66249847
FMSA8F1083v2,0.10000202,0.42739534,0.18691213,0.07615698,-0.51099205,-0.09171049,0.08432697,-0.16391732,0.07254759,-0.044345476,0.23082049,0.15160862,-0.025472535,-0.19272064,0.01204017,-0.068463475,0.03807566,0.20547214,0.026020736,0.16135348,0.09034425,0.108911335,-0.051129192,-0.113448195,0.02328055,-0.0986458,0.002092736,0.005792362,0.0059103123,0.008971875,0.021450978,0.07493486,-0.07264419,0.061322935,0.037339125,-0.116096474,0.01193674,0.015805246,-0.032476615,0.087042026,-0.06738323,0.06443131,-0.020500438,-0.011884014,-0.12155668,0.07067938,0.08539938,-0.0014298835,0.021572249,-0.00010815384,-0.027427875,0.002670356,-0.021078035,-0.004186027,-0.007384885,-0.0074884086,-0.011525455,-0.0002512027,-0.04450137,-0.015375116,-0.005656442,-0.038242087,-0.013567924,0.009227225,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.0,0.5,4,5.147773532,5,-83.49583435|35.00416565,3,-83.49583435,35.00416565
