sample_id,longitude,latitude,year_of_sampling
S5669,-119.69187,54.81258,2016
S1697,-73.37,45.72,2011
S1051,-47.48055556,-13.56055556,2016
S2094,-113.35,48.4666667,NA_
S3339,-117.970426,54.58351057,2016
S3650,111.0394444,29.6544444,2012
S5427,-118.60254,53.87838,2016
S2064,111.7088,38.3965,2010
S1286,-16.31777778,28.53166667,2017
S3731,-82.44166667,29.735,2012
S5053,92.745,55.91472222,2016
S5833,9.460072222,48.4587139,2011
S2409,112.53,23.17,2015
S5795,-119.69187,54.81258,2016
S3473,109.5775,19.43222222,2018
S7245,-117.33073,53.8039,2016
S1195,109.4961111,18.28472222,2018
S2024,22.61083333,-33.97861111,2016
S2100,-113.35,48.4666667,NA_
S2781,114.26951,33.42504,2015
S1951,115.00036,36.25369,2015
S6718,-113.35,48.4666667,NA_
S4937,-116.593305,54.20218352,2016
S5802,-119.099106,56.24936834,2016
S7384,-116.593305,54.20218352,2016
S5558,-118.483517,54.16046856,2016
S3893,9.460072222,48.4587139,2011
S1101,111.0502778,29.6677778,2012
S6999,-73.37,45.72,2011
S3769,-79.8434,9.110057,2012
S5313,9.460072222,48.4587139,2011
S5564,34.45741,-18.934019,2014
S7077,-116.593305,54.20218352,2016
S1991,3.01889,39.83495,2018
S5398,-155.3070028,19.8329472,2017
S1663,29.19473333,-26.0035,2017
S6421,-119.097777,56.26112706,2016
S3069,109.0697222,19.4825,2018
S3053,-155.3159722,19.8209611,2017
S7027,-155.3159722,19.8209611,2017
S5631,-155.3102889,19.8328028,2017
S6775,-155.3176528,19.8207917,2017
S2035,109.892,36.7461,2010
S4388,-155.3170028,19.8208167,2017
S5361,9.460072222,48.4587139,2011
S6085,-73.37,45.72,2011
S2005,29.19116667,-26.00301667,2017
S4351,34.3764,-18.928533,2014
S6612,-155.3176528,19.8207917,2017
S3973,-87.3515,20.4444,2013
S4140,-155.3176528,19.8207917,2017
S5175,-64.185601,-31.56004,2015
S4401,-79.8434,9.110057,2012
S1220,120.8943,46.7175,2010
S2149,9.460072222,48.4587139,2011
S5082,-155.3170028,19.8208167,2017
S3372,-87.3484,20.4429,2013
S7120,-107.6833333,50.3,2011
S7586,-2.833333,37.4,2011
S4834,34.37243,-18.9478833,2014
S3824,142.6041667,43.28833333,2010
