sample_id,longitude,latitude,year_of_sampling
S000172,5.372778,51.125833,2009
GF4S02052b,18.849,68.328056,2008
FMS06172v3,101.28588,21.90957,2013
GF4S21821b,26.7189,58.3835,2017
FMS19502v2,112.8157333,43.71823333,2015
GF4S03664b,100.167,27.167,2015
GF4S21302b,26.38555,58.6339,2020
GF4T124otu,146.91,-6.64,2011
GF3S05821a,14.70904809,48.6648688,2015
FMSA8F1083v2,-83.5,35,2012
GF3S01386a,25.55063,58.35081,2013
GF4S12599b,126.7282834,33.4780278,2015
GF3S05127a,1.034722,41.355,2009
GF4S16139b,-96.58333333,39.0833333,2018
GF4S20475b,25.666878,58.397443,2015
S008888,17.714925,66.137601,2009
N1548,8.174340431,55.82006259,2014
GF3S10247b,23.62,52.65,2017
GF4S19285b,15.78,59.11364451,2016
FMS11032v2,27.0333,58.116,2012
FMS24654v2,-73.9559721,41.3914827,2013
FMS16BI1157v2,149.0097,-35.8766833,2014
GF4S03337b,101.574,21.612,2015
GF4S12319b,-0.257162582,38.88019712,2014
FMS25253v2,15.29,63.18,2014
GF3S05233a,-61.750884,47.443405,2011
GF4S19909b,27.32785,58.27117,2011
GF4S02677b,13.63507972,53.09398488,2011
GF4T1647otu,12.94,47.58,2018
GF4S17389b,11.06,47.44,2016
FMS00294v3,21.298056,40.00722,2013
S008807,17.714042,66.04005,2009
GF4T1635otu,-17.26,28.13,2017
GF4S03874b,100.167,27.167,2015
GF4S02128b,18.854472,68.326056,2008
GF4S21098b,24.57019757,59.00724985,2016
GF4T239otu,-77.48,39.9,2015
FMS23335v2,-120.35,50.88,2010
GF4T214otu,-3.51,34.19,2014
FMS15694v2,-21.55,74.4666667,2011
GF3S02117a,112.5333333,23.16666667,2014
FMSA8F1052v2,-79.85,9.15,2012
GF4S20982b,25.584433,58.28012,2016
GF4S03616b,101.016,24.533,2015
GF3S05747a,14.70376313,48.66696548,2015
FMS22979v2,-95.15,31.11,2012
FMS08142v3a,138.8315,35.9194722,2017
GF4S03657b,100.167,27.167,2015
GF4S19929b,27.33476,58.27534,2011
FMS22848v2,-82.25,46.75,2011
GF4S02581b,10.20844805,51.27821774,2011
GF3S02138a,110.45,28.86666667,2014
GF4S20380b,25.278741,58.565212,2015
N0753,117.908,29.124,2011
FMS25142v2,15.7,63.31,2014
GF4S04078b,101.574,21.612,2015
FMS02390v3,29.58333333,67.7666667,2013
FMS17257v2,58.109556,37.429083,2010
GF4S21780b,22.12827,58.00971,2016
GF3S08613b,1.07433492,42.59273024,2013
GF4S21075b,26.71379789,58.52617706,2016
GF4S20809b,26.086182,58.943558,2015
GF4T1124otu,39.54,51.95,2012
S000718,146.784,-43.175,2012
N0997,-83.96,35.84,2014
GF4S19241b,14.3,58.35431089,2016
GF4S02081b,18.853583,68.3265,2008
GF4S21488b,14.7831314,48.9398206,2018
FMS22975v2,-95.15,31.11,2012
FMS24928v2,14.13,60.96,2014
GF4S11425b,-112.4171,59.8463,2015
FMS24098v2,124.9,41.85,2013
GF4S17780b,-83.459382,35.038205,2013
FMS12392v2,10.25815169,51.36616394,2011
GF4S11372b,-116.3939,62.5565,2015
S000720,146.65,-43.093,2012
FMS00391v3,14.1025,45.82861,2014
GF4S20120b,24.84865,57.1525,2014
GF4S03093b,100.167,27.167,2015
GF4S20525b,23.071676,58.821726,2015
GF4T1006otu,-75.2,8.27,2019
S009226,16.76218389,49.29718392,2013
FMS26379v2,22.19635,58.10709,2012
GF4S20590b,23.695348,58.426627,2015
S000989,18.816002,68.354395,
GF4S09994b,137.01,34.8,2015
GF4S03738b,100.167,27.167,2015
GF4S18779b,21.31583,69.51653,2013
S001543,126.71667,48.15,2012
GF4S19332b,23.1,67.4752065,2016
FMS16BI1514v2,116.17192,-32.52362,2016
