longitude,latitude,A00,A01,A02,A03,A04,A05,A06,A07,A08,A09,A10,A11,A12,A13,A14,A15,A16,A17,A18,A19,A20,A21,A22,A23,A24,A25,A26,A27,A28,A29,A30,A31,A32,A33,A34,A35,A36,A37,A38,A39,A40,A41,A42,A43,A44,A45,A46,A47,A48,A49,A50,A51,A52,A53,A54,A55,A56,A57,A58,A59,A60,A61,A62,A63
-120.5802778,37.84888889,48.0,-44.0,22.0,50.0,50.0,54.0,-19.0,9.0,38.0,7.0,34.0,-44.0,-58.0,-57.0,34.0,58.0,20.0,21.0,-43.0,-39.0,15.0,33.0,6.0,47.0,32.0,64.0,-49.0,41.0,53.0,42.0,18.0,-42.0,42.0,-49.0,-31.0,-33.0,-24.0,-19.0,-68.0,44.0,22.0,-59.0,59.0,-55.0,58.0,41.0,-23.0,-54.0,-10.0,-19.0,-45.0,24.0,-33.0,45.0,-17.0,-56.0,44.0,-17.0,24.0,-27.0,64.0,11.0,40.0,-32.0
-120.6577778,40.66694444,-23.0,-62.0,-7.0,-32.0,-28.0,-43.0,-24.0,-41.0,-68.0,36.0,-31.0,-59.0,-17.0,-17.0,-55.0,41.0,-16.0,-53.0,44.0,-60.0,-23.0,22.0,-40.0,31.0,-38.0,-42.0,-37.0,-31.0,46.0,-24.0,-48.0,-10.0,40.0,-36.0,-17.0,51.0,30.0,59.0,-75.0,-22.0,-12.0,40.0,-51.0,-10.0,23.0,44.0,40.0,-53.0,27.0,-56.0,-16.0,-8.0,35.0,63.0,9.0,25.0,-45.0,-50.0,-61.0,11.0,43.0,-38.0,40.0,46.0
-122.2427778,37.87055556,38.0,-41.0,-54.0,37.0,25.0,-21.0,-23.0,55.0,71.0,-52.0,39.0,42.0,-55.0,-30.0,53.0,48.0,35.0,-30.0,-60.0,18.0,37.0,-48.0,-21.0,19.0,47.0,54.0,-35.0,16.0,40.0,54.0,-40.0,28.0,22.0,45.0,-40.0,-32.0,-35.0,24.0,-36.0,43.0,15.0,-49.0,63.0,-46.0,20.0,40.0,-25.0,55.0,34.0,-14.0,-13.0,-49.0,20.0,58.0,56.0,-39.0,30.0,-19.0,-13.0,39.0,69.0,-40.0,57.0,41.0
-116.375,33.65055556,55.0,56.0,14.0,36.0,20.0,-18.0,16.0,15.0,-65.0,-11.0,50.0,27.0,-63.0,-43.0,46.0,22.0,54.0,44.0,64.0,41.0,-6.0,-45.0,-57.0,-5.0,-39.0,38.0,-52.0,-48.0,57.0,36.0,40.0,-40.0,40.0,-58.0,-39.0,32.0,-17.0,-17.0,-71.0,39.0,65.0,-40.0,28.0,-37.0,38.0,25.0,33.0,13.0,-30.0,31.0,-43.0,-17.0,39.0,-42.0,43.0,44.0,-9.0,-28.0,19.0,-69.0,-28.0,-11.0,-25.0,-3.0
-117.2491667,33.53194444,32.0,-28.0,16.0,-20.0,12.0,13.0,33.0,-29.0,32.0,-50.0,7.0,-37.0,-67.0,-47.0,30.0,43.0,-48.0,41.0,-47.0,-49.0,-20.0,52.0,-28.0,51.0,10.0,16.0,-41.0,50.0,59.0,24.0,50.0,-42.0,55.0,1.0,-47.0,24.0,54.0,35.0,-46.0,42.0,53.0,-64.0,61.0,-58.0,30.0,-21.0,28.0,-35.0,-33.0,-61.0,-15.0,-19.0,55.0,-22.0,-35.0,-50.0,-33.0,-46.0,-47.0,-17.0,58.0,4.0,64.0,24.0
-122.89019,38.09925,55.0,32.0,-49.0,16.0,43.0,15.0,23.0,67.0,55.0,-24.0,-29.0,36.0,-57.0,21.0,49.0,45.0,-55.0,-15.0,29.0,41.0,38.0,47.0,-21.0,23.0,49.0,59.0,-65.0,20.0,42.0,7.0,33.0,33.0,-31.0,32.0,-33.0,-21.0,-27.0,18.0,-36.0,44.0,-34.0,19.0,60.0,-43.0,-18.0,55.0,-40.0,-16.0,-9.0,-45.0,-46.0,-44.0,64.0,45.0,-28.0,-44.0,20.0,53.0,-52.0,19.0,71.0,-57.0,37.0,-27.0
-119.93833,37.84261,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0
-119.93833,37.84261,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0
-119.49117,37.80889,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0,-128.0
-120.78,39.26,57.0,-27.0,-44.0,-19.0,38.0,40.0,11.0,57.0,44.0,-11.0,-35.0,27.0,-53.0,46.0,17.0,48.0,-40.0,-23.0,72.0,-44.0,46.0,-43.0,41.0,-23.0,38.0,48.0,-65.0,6.0,-13.0,-20.0,-8.0,20.0,-32.0,17.0,-12.0,-26.0,-57.0,5.0,-44.0,-25.0,-56.0,6.0,47.0,-41.0,-24.0,58.0,-58.0,-16.0,-4.0,-29.0,-25.0,-45.0,39.0,66.0,49.0,19.0,-40.0,64.0,-44.0,-23.0,70.0,-8.0,41.0,-9.0
