Mean_R2_Spatial_center,StDev_R2_Spatial_center,Mean_RMSE_Spatial_center,StDev_RMSE_Spatial_center,Mean_MAE_Spatial_center,StDev_MAE_Spatial_center,feature_set,num_layers,hidden_dim,dropout,weight_decay,learning_rate,batch_size,activation,batch_norm,optimizer,stage_center,cName_center,Mean_R2_Spatial_ball,StDev_R2_Spatial_ball,Mean_RMSE_Spatial_ball,StDev_RMSE_Spatial_ball,Mean_MAE_Spatial_ball,StDev_MAE_Spatial_ball,stage_ball,cName_ball,delta_ball_minus_center
0.0540294775299164,0.0153632307384403,1.1696713470256943,0.1450725529187992,0.9058001617475826,0.1464799812845571,alpha64_tps50,2,384,0.2,0.0001,0.0003,128,gelu,True,adamw,search,ectomycorrhizal_richness_mlp_L2_H384_DO0.2_WD0.0001_LR0.0003_BS128_ACTgelu_BN1_OPTadamw_alpha64_tps50,-0.0021775240548686,0.0518342342812328,1.2060333944001376,0.1706269323071226,0.9243431175874076,0.1550987819026159,search,ectomycorrhizal_richness_mlp_L2_H384_DO0.2_WD0.0001_LR0.0003_BS128_ACTgelu_BN1_OPTadamw_alpha64_tps50,-0.056207001584785005
0.0721178954881469,0.0383124382105454,1.1543624047347387,0.110356620298579,0.8762332416307772,0.1492310239584089,alpha64,3,512,0.3,0.0001,0.0003,128,relu,True,adamw,search,ectomycorrhizal_richness_mlp_L3_H512_DO0.3_WD0.0001_LR0.0003_BS128_ACTrelu_BN1_OPTadamw_alpha64,0.025472738213498,0.0066043083503438,1.185643398316974,0.1335985839535517,0.9069458927339143,0.1656864967065806,search,ectomycorrhizal_richness_mlp_L3_H512_DO0.3_WD0.0001_LR0.0003_BS128_ACTrelu_BN1_OPTadamw_alpha64,-0.0466451572746489
0.0730598076842952,0.0082548694074448,1.156185399770056,0.1290641429030921,0.8750275638860981,0.1449675045568813,alpha64_tps10,3,512,0.3,0.0001,0.0003,128,relu,True,adamw,search,ectomycorrhizal_richness_mlp_L3_H512_DO0.3_WD0.0001_LR0.0003_BS128_ACTrelu_BN1_OPTadamw_alpha64_tps10,0.0295476969016363,0.0286581793027131,1.1814770540215205,0.1198368113344011,0.880043007974828,0.1448528019499712,search,ectomycorrhizal_richness_mlp_L3_H512_DO0.3_WD0.0001_LR0.0003_BS128_ACTrelu_BN1_OPTadamw_alpha64_tps10,-0.043512110782658896
0.0830138082418665,0.0688295604333865,1.1447412544494693,0.0901880601036579,0.887722481005611,0.1095735821912373,alpha64,2,256,0.1,1e-05,0.001,128,silu,True,adam,search,ectomycorrhizal_richness_mlp_L2_H256_DO0.1_WD1e-05_LR0.001_BS128_ACTsilu_BN1_OPTadam_alpha64,0.0422202244556325,0.0539943149623768,1.1715657758802176,0.1032186358189417,0.9126305301404116,0.1205828357945509,search,ectomycorrhizal_richness_mlp_L2_H256_DO0.1_WD1e-05_LR0.001_BS128_ACTsilu_BN1_OPTadam_alpha64,-0.040793583786233996
0.11465176453427,0.0523049704719452,1.1261737330854702,0.0977034767696494,0.8640053063590994,0.1197643745544853,alpha64,2,384,0.2,0.0001,0.0003,128,gelu,True,adamw,search,ectomycorrhizal_richness_mlp_L2_H384_DO0.2_WD0.0001_LR0.0003_BS128_ACTgelu_BN1_OPTadamw_alpha64,0.0774768806355515,0.0345879310447513,1.1513216457760893,0.1122349600062196,0.8868294012161756,0.1348777611745405,search,ectomycorrhizal_richness_mlp_L2_H384_DO0.2_WD0.0001_LR0.0003_BS128_ACTgelu_BN1_OPTadamw_alpha64,-0.03717488389871851
0.0699371746338899,0.0371444670811372,1.1558250182514045,0.111272222005663,0.8933146055090448,0.1143974284793074,alpha64_tps10,2,256,0.1,1e-05,0.001,128,silu,True,adam,search,ectomycorrhizal_richness_mlp_L2_H256_DO0.1_WD1e-05_LR0.001_BS128_ACTsilu_BN1_OPTadam_alpha64_tps10,0.0380029186872397,0.0137351764367452,1.1794125902961254,0.145140592281326,0.908196224110664,0.1511324984325096,search,ectomycorrhizal_richness_mlp_L2_H256_DO0.1_WD1e-05_LR0.001_BS128_ACTsilu_BN1_OPTadam_alpha64_tps10,-0.031934255946650204
-0.3112880849763733,0.2725020703444964,1.3516681006593196,0.0150127709740147,1.1618232653093292,0.0362454335930981,alpha64_tps50,3,512,0.8,0.01,0.0001,128,relu,False,adamw,search,ectomycorrhizal_richness_mlp_L3_H512_DO0.8_WD0.01_LR0.0001_BS128_ACTrelu_BN0_OPTadamw_alpha64_tps50,-0.3389211907649911,0.3065048295265888,1.3624502466303348,3.405842538295456e-05,1.1725841088230349,0.0503327039821276,search,ectomycorrhizal_richness_mlp_L3_H512_DO0.8_WD0.01_LR0.0001_BS128_ACTrelu_BN0_OPTadamw_alpha64_tps50,-0.02763310578861783
0.079425458052501,0.0158181270240934,1.1516238505010938,0.1238451402572482,0.870271553362779,0.1419111893014787,alpha64_tps25,3,512,0.3,0.0001,0.0003,128,relu,True,adamw,search,ectomycorrhizal_richness_mlp_L3_H512_DO0.3_WD0.0001_LR0.0003_BS128_ACTrelu_BN1_OPTadamw_alpha64_tps25,0.0541233518404196,0.0218625177034227,1.1669058195726183,0.1220658597006509,0.8828818129358245,0.1421456625921153,search,ectomycorrhizal_richness_mlp_L3_H512_DO0.3_WD0.0001_LR0.0003_BS128_ACTrelu_BN1_OPTadamw_alpha64_tps25,-0.025302106212081392
-0.294941645635844,0.2692821663608409,1.343195754462948,0.0148226885670459,1.1560913200965417,0.0338563329646323,alpha64_tps10,3,512,0.8,0.01,0.0001,128,relu,False,adamw,search,ectomycorrhizal_richness_mlp_L3_H512_DO0.8_WD0.01_LR0.0001_BS128_ACTrelu_BN0_OPTadamw_alpha64_tps10,-0.3179115835451964,0.3036284733771313,1.3514786291400278,0.0010125944173827,1.163800764203506,0.0492292635017898,search,ectomycorrhizal_richness_mlp_L3_H512_DO0.8_WD0.01_LR0.0001_BS128_ACTrelu_BN0_OPTadamw_alpha64_tps10,-0.022969937909352367
-0.290477573486007,0.2384846103355238,1.344328277276021,0.0310130284276477,1.1549915763861778,0.0180423574287003,alpha64,3,512,0.8,0.01,0.0001,128,relu,False,adamw,search,ectomycorrhizal_richness_mlp_L3_H512_DO0.8_WD0.01_LR0.0001_BS128_ACTrelu_BN0_OPTadamw_alpha64,-0.3101782152755785,0.267945586064193,1.3516041831198486,0.0173420836056642,1.161861511042218,0.0304168968841761,search,ectomycorrhizal_richness_mlp_L3_H512_DO0.8_WD0.01_LR0.0001_BS128_ACTrelu_BN0_OPTadamw_alpha64,-0.019700641789571482
