Mean_R2_Spatial,StDev_R2_Spatial,Mean_RMSE_Spatial,StDev_RMSE_Spatial,Mean_MAE_Spatial,StDev_MAE_Spatial,feature_set,num_layers,hidden_dim,dropout,weight_decay,learning_rate,batch_size,activation,batch_norm,optimizer,stage,cName
0.07747688063555158,0.03458793104475133,1.1513216457760893,0.11223496000621969,0.8868294012161756,0.13487776117454053,alpha64,2,384,0.2,0.0001,0.0003,128,gelu,True,adamw,search,ectomycorrhizal_richness_mlp_L2_H384_DO0.2_WD0.0001_LR0.0003_BS128_ACTgelu_BN1_OPTadamw_alpha64
0.07236005035859622,0.037029741121964055,1.1543200604386636,0.11113842828159481,0.8890063703563529,0.12128456835868295,alpha64_tps25,2,256,0.1,1e-05,0.001,128,silu,True,adam,search,ectomycorrhizal_richness_mlp_L2_H256_DO0.1_WD1e-05_LR0.001_BS128_ACTsilu_BN1_OPTadam_alpha64_tps25
0.057473610621416815,0.04084470565122339,1.1632723449697384,0.11002751948625678,0.874351539018482,0.14373515378315843,alpha64_tps50,3,512,0.3,0.0001,0.0003,128,relu,True,adamw,search,ectomycorrhizal_richness_mlp_L3_H512_DO0.3_WD0.0001_LR0.0003_BS128_ACTrelu_BN1_OPTadamw_alpha64_tps50
0.054123351840419665,0.02186251770342279,1.1669058195726183,0.12206585970065098,0.8828818129358245,0.1421456625921153,alpha64_tps25,3,512,0.3,0.0001,0.0003,128,relu,True,adamw,search,ectomycorrhizal_richness_mlp_L3_H512_DO0.3_WD0.0001_LR0.0003_BS128_ACTrelu_BN1_OPTadamw_alpha64_tps25
0.04974501014426369,0.03708635860177745,1.1683768220280708,0.11300795778599937,0.9060109206272181,0.13401531808849143,alpha64_tps10,2,384,0.2,0.0001,0.0003,128,gelu,True,adamw,search,ectomycorrhizal_richness_mlp_L2_H384_DO0.2_WD0.0001_LR0.0003_BS128_ACTgelu_BN1_OPTadamw_alpha64_tps10
0.04607716557606123,0.015682646117145205,1.1723516081014163,0.12650463054906813,0.8956673141546307,0.14842598760370151,alpha64_tps25,2,384,0.2,0.0001,0.0003,128,gelu,True,adamw,search,ectomycorrhizal_richness_mlp_L2_H384_DO0.2_WD0.0001_LR0.0003_BS128_ACTgelu_BN1_OPTadamw_alpha64_tps25
0.04222022445563256,0.05399431496237683,1.1715657758802176,0.10321863581894175,0.9126305301404115,0.12058283579455098,alpha64,2,256,0.1,1e-05,0.001,128,silu,True,adam,search,ectomycorrhizal_richness_mlp_L2_H256_DO0.1_WD1e-05_LR0.001_BS128_ACTsilu_BN1_OPTadam_alpha64
0.03800291868723976,0.013735176436745211,1.1794125902961254,0.14514059228132603,0.9081962241106639,0.15113249843250964,alpha64_tps10,2,256,0.1,1e-05,0.001,128,silu,True,adam,search,ectomycorrhizal_richness_mlp_L2_H256_DO0.1_WD1e-05_LR0.001_BS128_ACTsilu_BN1_OPTadam_alpha64_tps10
0.02954769690163639,0.028658179302713194,1.1814770540215203,0.11983681133440116,0.880043007974828,0.14485280194997124,alpha64_tps10,3,512,0.3,0.0001,0.0003,128,relu,True,adamw,search,ectomycorrhizal_richness_mlp_L3_H512_DO0.3_WD0.0001_LR0.0003_BS128_ACTrelu_BN1_OPTadamw_alpha64_tps10
0.025472738213498047,0.006604308350343868,1.1856433983169739,0.13359858395355173,0.9069458927339145,0.1656864967065806,alpha64,3,512,0.3,0.0001,0.0003,128,relu,True,adamw,search,ectomycorrhizal_richness_mlp_L3_H512_DO0.3_WD0.0001_LR0.0003_BS128_ACTrelu_BN1_OPTadamw_alpha64
-0.0021775240548686514,0.05183423428123285,1.2060333944001376,0.17062693230712267,0.9243431175874075,0.15509878190261595,alpha64_tps50,2,384,0.2,0.0001,0.0003,128,gelu,True,adamw,search,ectomycorrhizal_richness_mlp_L2_H384_DO0.2_WD0.0001_LR0.0003_BS128_ACTgelu_BN1_OPTadamw_alpha64_tps50
-0.022611124935398963,0.015258518373433394,1.2139405457665928,0.1319037751152098,0.9509563039812983,0.13150659070549048,alpha64_tps50,2,256,0.1,1e-05,0.001,128,silu,True,adam,search,ectomycorrhizal_richness_mlp_L2_H256_DO0.1_WD1e-05_LR0.001_BS128_ACTsilu_BN1_OPTadam_alpha64_tps50
-0.31017821527557854,0.26794558606419305,1.3516041831198486,0.01734208360566425,1.161861511042218,0.030416896884176148,alpha64,3,512,0.8,0.01,0.0001,128,relu,False,adamw,search,ectomycorrhizal_richness_mlp_L3_H512_DO0.8_WD0.01_LR0.0001_BS128_ACTrelu_BN0_OPTadamw_alpha64
-0.3156512652078096,0.3084952004195196,1.349645391983517,0.003932369483051756,1.1630404582532141,0.05188872752206908,alpha64_tps25,3,512,0.8,0.01,0.0001,128,relu,False,adamw,search,ectomycorrhizal_richness_mlp_L3_H512_DO0.8_WD0.01_LR0.0001_BS128_ACTrelu_BN0_OPTadamw_alpha64_tps25
-0.31791158354519644,0.3036284733771313,1.3514786291400278,0.0010125944173827728,1.163800764203506,0.0492292635017898,alpha64_tps10,3,512,0.8,0.01,0.0001,128,relu,False,adamw,search,ectomycorrhizal_richness_mlp_L3_H512_DO0.8_WD0.01_LR0.0001_BS128_ACTrelu_BN0_OPTadamw_alpha64_tps10
-0.33892119076499116,0.30650482952658886,1.3624502466303348,3.405842538295456e-05,1.1725841088230347,0.050332703982127636,alpha64_tps50,3,512,0.8,0.01,0.0001,128,relu,False,adamw,search,ectomycorrhizal_richness_mlp_L3_H512_DO0.8_WD0.01_LR0.0001_BS128_ACTrelu_BN0_OPTadamw_alpha64_tps50
