Mean_R2_Spatial,StDev_R2_Spatial,Mean_RMSE_Spatial,StDev_RMSE_Spatial,Mean_MAE_Spatial,StDev_MAE_Spatial,feature_set,num_layers,hidden_dim,dropout,weight_decay,learning_rate,batch_size,activation,batch_norm,optimizer,stage,cName
0.11465176453427006,0.05230497047194527,1.1261737330854702,0.09770347676964941,0.8640053063590994,0.1197643745544853,alpha64,2,384,0.2,0.0001,0.0003,128,gelu,True,adamw,search,ectomycorrhizal_richness_mlp_L2_H384_DO0.2_WD0.0001_LR0.0003_BS128_ACTgelu_BN1_OPTadamw_alpha64
0.08301380824186655,0.0688295604333865,1.1447412544494693,0.09018806010365799,0.887722481005611,0.1095735821912373,alpha64,2,256,0.1,1e-05,0.001,128,silu,True,adam,search,ectomycorrhizal_richness_mlp_L2_H256_DO0.1_WD1e-05_LR0.001_BS128_ACTsilu_BN1_OPTadam_alpha64
0.07942545805250106,0.01581812702409341,1.1516238505010938,0.12384514025724824,0.870271553362779,0.14191118930147878,alpha64_tps25,3,512,0.3,0.0001,0.0003,128,relu,True,adamw,search,ectomycorrhizal_richness_mlp_L3_H512_DO0.3_WD0.0001_LR0.0003_BS128_ACTrelu_BN1_OPTadamw_alpha64_tps25
0.07330123241487463,0.01636750247071439,1.1554135764390323,0.12397891723915233,0.8847446146799296,0.1290345814087981,alpha64_tps25,2,256,0.1,1e-05,0.001,128,silu,True,adam,search,ectomycorrhizal_richness_mlp_L2_H256_DO0.1_WD1e-05_LR0.001_BS128_ACTsilu_BN1_OPTadam_alpha64_tps25
0.07305980768429526,0.008254869407444854,1.156185399770056,0.1290641429030921,0.8750275638860981,0.14496750455688134,alpha64_tps10,3,512,0.3,0.0001,0.0003,128,relu,True,adamw,search,ectomycorrhizal_richness_mlp_L3_H512_DO0.3_WD0.0001_LR0.0003_BS128_ACTrelu_BN1_OPTadamw_alpha64_tps10
0.0721178954881469,0.038312438210545474,1.1543624047347387,0.11035662029857907,0.8762332416307772,0.14923102395840893,alpha64,3,512,0.3,0.0001,0.0003,128,relu,True,adamw,search,ectomycorrhizal_richness_mlp_L3_H512_DO0.3_WD0.0001_LR0.0003_BS128_ACTrelu_BN1_OPTadamw_alpha64
0.06993717463388999,0.03714446708113722,1.1558250182514043,0.111272222005663,0.8933146055090448,0.11439742847930745,alpha64_tps10,2,256,0.1,1e-05,0.001,128,silu,True,adam,search,ectomycorrhizal_richness_mlp_L2_H256_DO0.1_WD1e-05_LR0.001_BS128_ACTsilu_BN1_OPTadam_alpha64_tps10
0.06129576185314306,0.008308947029210312,1.1646983278893392,0.1402162467867908,0.8723773133737673,0.1470334684729943,alpha64_tps25,2,384,0.2,0.0001,0.0003,128,gelu,True,adamw,search,ectomycorrhizal_richness_mlp_L2_H384_DO0.2_WD0.0001_LR0.0003_BS128_ACTgelu_BN1_OPTadamw_alpha64_tps25
0.056772703158122606,0.05471989031174346,1.1624928469275262,0.10147083454000982,0.8744936003220176,0.12477142728662416,alpha64_tps25,4,512,0.2,0.0001,0.0001,64,relu,True,adamw,search,ectomycorrhizal_richness_mlp_L4_H512_DO0.2_WD0.0001_LR0.0001_BS64_ACTrelu_BN1_OPTadamw_alpha64_tps25
0.05402947752991649,0.01536323073844037,1.1696713470256945,0.14507255291879928,0.9058001617475826,0.14647998128455714,alpha64_tps50,2,384,0.2,0.0001,0.0003,128,gelu,True,adamw,search,ectomycorrhizal_richness_mlp_L2_H384_DO0.2_WD0.0001_LR0.0003_BS128_ACTgelu_BN1_OPTadamw_alpha64_tps50
0.052063909651937024,0.022361201762851446,1.1681399204874534,0.12191990460108604,0.8863310441564083,0.1406855865796861,alpha64_tps10,2,384,0.2,0.0001,0.0003,128,gelu,True,adamw,search,ectomycorrhizal_richness_mlp_L2_H384_DO0.2_WD0.0001_LR0.0003_BS128_ACTgelu_BN1_OPTadamw_alpha64_tps10
0.035642378720461554,0.0012874193215738905,1.179819816929467,0.1361109525019094,0.889352999604965,0.1535965745976816,alpha64_tps50,3,512,0.3,0.0001,0.0003,128,relu,True,adamw,search,ectomycorrhizal_richness_mlp_L3_H512_DO0.3_WD0.0001_LR0.0003_BS128_ACTrelu_BN1_OPTadamw_alpha64_tps50
0.031737258113400835,0.0444539528636248,1.178836563914175,0.10999188486638645,0.8883710519651831,0.1379420920674304,alpha64_tps10,4,512,0.2,0.0001,0.0001,64,relu,True,adamw,search,ectomycorrhizal_richness_mlp_L4_H512_DO0.2_WD0.0001_LR0.0001_BS64_ACTrelu_BN1_OPTadamw_alpha64_tps10
-0.00951576851885727,0.10797881677454557,1.1979871034053264,0.0752105661112249,0.8866843574658219,0.09846661576182753,alpha64_tps50,4,512,0.2,0.0001,0.0001,64,relu,True,adamw,search,ectomycorrhizal_richness_mlp_L4_H512_DO0.2_WD0.0001_LR0.0001_BS64_ACTrelu_BN1_OPTadamw_alpha64_tps50
-0.0291590933475932,0.06977903069419583,1.2134113454308806,0.09999591722035517,0.926985229979314,0.1444374512215178,alpha64,4,512,0.2,0.0001,0.0001,64,relu,True,adamw,search,ectomycorrhizal_richness_mlp_L4_H512_DO0.2_WD0.0001_LR0.0001_BS64_ACTrelu_BN1_OPTadamw_alpha64
